"hee::bad";"hee::good"
"diogenes::pleased";"diogenes::reasonable"
"crede::fine";"monsieur_capitano::fine"
"christ::modest";"moone::modest"
"christ::#-good";"christ::neglected"
"christ::#-good";"muncers::#-good"
"christ::#-good";"muncers::neglected"
"christ::neglected";"muncers::#-good"
"christ::neglected";"muncers::neglected"
"muncers::#-good";"muncers::neglected"
"adams::excellent";"destinie::excellent"
"geraldine::wise";"katherine_dowager::wise"
"countrieman::little";"erasmus::little"
"countrieman::little";"roterdam::little"
"countrieman::little";"thomas_moore::little"
"erasmus::little";"roterdam::little"
"erasmus::little";"thomas_moore::little"
"roterdam::little";"thomas_moore::little"
"thomas_moore::great";"thomas_moore::rich"
"esse::good";"esse::great"
"esse::good";"esse::thorough"
"esse::good";"tully::good"
"esse::good";"tully::great"
"esse::good";"tully::thorough"
"esse::great";"esse::thorough"
"esse::great";"tully::good"
"esse::great";"tully::great"
"esse::great";"tully::thorough"
"esse::thorough";"tully::good"
"esse::thorough";"tully::great"
"esse::thorough";"tully::thorough"
"tully::good";"tully::great"
"tully::good";"tully::thorough"
"tully::great";"tully::thorough"
"duke::hard";"wittenberg::hard"
"mary::bad";"mary::hard"
"queene::pleasant";"scoto::pleasant"
"cromwell::great";"henrie::great"
"cromwell::great";"lorde::great"
"henrie::great";"lorde::great"
"charles::reasonable";"emperour::reasonable"
"charles::reasonable";"gedeon::reasonable"
"emperour::reasonable";"gedeon::reasonable"
"geraldine::wise";"lorde::wise"
"phoebe::bright";"phoebe::rich"
"cornelius_agrippa::curious";"cornelius_agrippa::great"
"cornelius_agrippa::curious";"cornelius_agrippa::little"
"cornelius_agrippa::great";"cornelius_agrippa::little"
"cornelius_agrippa::short";"cornelius_agrippa::violent"
"frego::hard";"tabitha::hard"
"frego::disturbed";"frego::good"
"frego::disturbed";"tabitha::disturbed"
"frego::disturbed";"tabitha::good"
"frego::good";"tabitha::disturbed"
"frego::good";"tabitha::good"
"tabitha::disturbed";"tabitha::good"
"tabitha::great";"tabitha::little"
"golde::good";"phao::good"
"anthonie::bad";"anthonie::good"
"anthonie::bad";"cleopatra::bad"
"anthonie::bad";"cleopatra::good"
"anthonie::good";"cleopatra::bad"
"anthonie::good";"cleopatra::good"
"cleopatra::bad";"cleopatra::good"
"henrie_howard::good";"lorde::good"
"henrie_howard::well";"lorde::well"
"estrich::eager";"estrich::wise"
"maye_flowers::good";"maye::good"
"zanie_capestrano::good";"zanie_capestrano::thorough"
"bartol::pleasing";"bartoll::pleasing"
"bartol::pleasing";"esdras::pleasing"
"bartol::pleasing";"granado::pleasing"
"bartoll::pleasing";"esdras::pleasing"
"bartoll::pleasing";"granado::pleasing"
"esdras::pleasing";"granado::pleasing"
"hermannus_buschius::great";"tully::great"
"danaus::honest";"dane::honest"
"doctour::open";"zacharie::open"
"zacharie::gentle";"zacharie::little"
"zacharie::gentle";"zacharie::well"
"zacharie::little";"zacharie::well"
"marques::little";"zacharie::little"
"marques::little";"zadoch::little"
"zacharie::little";"zadoch::little"
"marques::good";"zacharie::good"
"marques::good";"zadoch::good"
"zacharie::good";"zadoch::good"
"zacharie::good";"zacharie::gracious"
"zacharie::good";"zadoch::gracious"
"zacharie::gracious";"zadoch::good"
"zacharie::gracious";"zadoch::gracious"
"zadoch::good";"zadoch::gracious"
"peters::rich";"saint::rich"
"angell::open";"angell::rough"
"iulius_cosar::great";"iulius_cosar::little"
"esdras::great";"granado::great"
"esdras::forward";"esdras::great"
