"samuel_pickwick::lively";"samuel_pickwick::sensible"
"augustus_snodgrass::forward";"nathaniel_winkle::forward"
"augustus_snodgrass::forward";"samuel_pickwick::forward"
"augustus_snodgrass::forward";"tracy_tupman::forward"
"nathaniel_winkle::forward";"samuel_pickwick::forward"
"nathaniel_winkle::forward";"tracy_tupman::forward"
"samuel_pickwick::forward";"tracy_tupman::forward"
"tracy_tupman::interesting";"tupman::interesting"
"snodgrass::great";"winkle::great"
"samuel_pickwick::open";"samuel_pickwick::punctual"
"pickwick::appealing";"pickwick::young"
"pickwick::strong";"snodgrass::strong"
"augustus_snodgrass::distinguished";"augustus_snodgrass::fine"
"augustus_snodgrass::distinguished";"augustus_snodgrass::old"
"augustus_snodgrass::fine";"augustus_snodgrass::old"
"brompton::careful";"pickwick::careful"
"brompton::careful";"stroud::careful"
"pickwick::careful";"stroud::careful"
"tupman::fine";"tupman::great"
"pickwick::great";"snodgrass::great"
"pickwick::great";"tupman::great"
"snodgrass::great";"tupman::great"
"bacchus::influential";"tupman::influential"
"bacchus::calm";"bacchus::relaxed"
"bacchus::calm";"tupman::calm"
"bacchus::calm";"tupman::relaxed"
"bacchus::relaxed";"tupman::calm"
"bacchus::relaxed";"tupman::relaxed"
"tupman::calm";"tupman::relaxed"
"tupman::ordinary";"winkle::ordinary"
"tupman::good";"tupman::great"
"thomas_clubber::great";"tupman::great"
"clubber::distinguished";"thomas_clubber::distinguished"
"alexander_selkirks::affectionate";"bulder::affectionate"
"alexander_selkirks::affectionate";"clubber::affectionate"
"alexander_selkirks::affectionate";"colonel_bulder::affectionate"
"alexander_selkirks::affectionate";"lady_clubber::affectionate"
"alexander_selkirks::affectionate";"thomas_clubber::affectionate"
"bulder::affectionate";"clubber::affectionate"
"bulder::affectionate";"colonel_bulder::affectionate"
"bulder::affectionate";"lady_clubber::affectionate"
"bulder::affectionate";"thomas_clubber::affectionate"
"clubber::affectionate";"colonel_bulder::affectionate"
"clubber::affectionate";"lady_clubber::affectionate"
"clubber::affectionate";"thomas_clubber::affectionate"
"colonel_bulder::affectionate";"lady_clubber::affectionate"
"colonel_bulder::affectionate";"thomas_clubber::affectionate"
"lady_clubber::affectionate";"thomas_clubber::affectionate"
"tracy_tupman::expressive";"tracy_tupman::good"
"slammer::#-surprised";"winkle::#-surprised"
"winkle::confused";"winkle::extraordinary"
"winkle::bad";"winkle::thinking"
"pickwick::unusual";"snodgrass::unusual"
"pickwick::unusual";"tupman::unusual"
"snodgrass::unusual";"tupman::unusual"
"snodgrass::proper";"winkle::proper"
"winkle::awkward";"winkle::little"
"winkle::awkward";"winkle::pleasant"
"winkle::little";"winkle::pleasant"
"pickwick::happy";"tupman::happy"
"doctor_slammer::great";"doctor_slammer::little"
"doctor_slammer::great";"tupman::great"
"doctor_slammer::great";"tupman::little"
"doctor_slammer::little";"tupman::great"
"doctor_slammer::little";"tupman::little"
"tupman::great";"tupman::little"
"snodgrass::old";"tupman::old"
"tupman::strong";"winkle::strong"
"pickwick::hard";"tupman::hard"
"pickwick::forward";"pickwick::rushed"
"pickwick::distinguished";"snodgrass::distinguished"
"pickwick::distinguished";"winkle::distinguished"
"snodgrass::distinguished";"winkle::distinguished"
"pickwick::old";"snodgrass::old"
"winkle::excited";"winkle::reasonable"
"pickwick::awful";"pickwick::elderly"
"pickwick::great";"pickwick::hostile"
"snodgrass::remarkable";"winkle::remarkable"
"snodgrass::little";"winkle::little"
"tupman::bright";"tupman::old"
"tupman::bright";"tupman::open"
"tupman::bright";"tupman::young"
"tupman::old";"tupman::open"
"tupman::old";"tupman::young"
"tupman::open";"tupman::young"
"pickwick::faithful";"pickwick::interesting"
"joe::fat";"winkle::fat"
"trundle::great";"winkle::great"
"emily::strange";"wardle::strange"
"tupman::gentle";"wardle::gentle"
"rachael::impressive";"tupman::impressive"
"emily::affectionate";"isabella::affectionate"
"joe::fat";"tom::fat"
"pickwick::#-curious";"pickwick::forward"
"pickwick::good";"wardle::good"
"pickwick::good";"winkle::good"
"wardle::good";"winkle::good"
"pickwick::amusing";"pickwick::interesting"
"pickwick::forward";"pickwick::great"
"pickwick::forward";"pickwick::short"
"pickwick::forward";"pickwick::uncomfortable"
"pickwick::great";"pickwick::short"
"pickwick::great";"pickwick::uncomfortable"
"pickwick::short";"pickwick::uncomfortable"
"pickwick::tall";"winkle::tall"
"tupman::good";"tupman::seductive"
"pickwick::dishonest";"winkle::dishonest"
"pickwick::expressive";"pickwick::rushed"
"wardle::faithful";"wardle::fat"
"--_joe::fat";"--_joe::old"
"--_joe::fat";"--_joe::proper"
"--_joe::fat";"joe::fat"
"--_joe::fat";"joe::old"
"--_joe::fat";"joe::proper"
"--_joe::old";"--_joe::proper"
"--_joe::old";"joe::fat"
"--_joe::old";"joe::old"
"--_joe::old";"joe::proper"
"--_joe::proper";"joe::fat"
"--_joe::proper";"joe::old"
"--_joe::proper";"joe::proper"
"joe::fat";"joe::old"
"joe::fat";"joe::proper"
"joe::old";"joe::proper"
"pickwick::old";"winkle::old"
"miller::conceited";"miller::old"
"pickwick::natural";"wardle::natural"
"miller::excited";"miller::fat"
"miller::excited";"miller::great"
"miller::excited";"miller::old"
"miller::fat";"miller::great"
"miller::fat";"miller::old"
"miller::great";"miller::old"
"miller::fat";"miller::unlucky"
"miller::fat";"pickwick::fat"
"miller::fat";"pickwick::unlucky"
"miller::unlucky";"pickwick::fat"
"miller::unlucky";"pickwick::unlucky"
"pickwick::fat";"pickwick::unlucky"
"pickwick::great";"pickwick::old"
"pickwick::excellent";"pickwick::little"
"pickwick::excellent";"pickwick::old"
"pickwick::excellent";"pickwick::short"
"pickwick::little";"pickwick::old"
"pickwick::little";"pickwick::short"
"pickwick::old";"pickwick::short"
"john_edmunds::old";"pickwick::old"
"john_edmunds::old";"snodgrass::old"
"edmunds::bad";"edmunds::cruel"
"edmunds::bad";"miller::bad"
"edmunds::bad";"miller::cruel"
"edmunds::bad";"tupman::bad"
"edmunds::bad";"tupman::cruel"
"edmunds::cruel";"miller::bad"
"edmunds::cruel";"miller::cruel"
"edmunds::cruel";"tupman::bad"
"edmunds::cruel";"tupman::cruel"
"miller::bad";"miller::cruel"
"miller::bad";"tupman::bad"
"miller::bad";"tupman::cruel"
"miller::cruel";"tupman::bad"
"miller::cruel";"tupman::cruel"
"tupman::bad";"tupman::cruel"
"neighbours::kind";"neighbours::old"
"john_edmunds::old";"john_edmunds::rich"
"john_edmunds::old";"john_edmunds::tall"
"john_edmunds::rich";"john_edmunds::tall"
"john_edmunds::bitter";"john_edmunds::little"
"john_edmunds::childish";"john_edmunds::gentle"
"edmunds::old";"edmunds::strange"
"edmunds::old";"edmunds::rich"
"edmunds::happy";"edmunds::old"
"edmunds::happy";"edmunds::tired"
"edmunds::old";"edmunds::tired"
"pickwick::#-certain";"pickwick::great"
"pickwick::#-certain";"pickwick::inexperienced"
"pickwick::great";"pickwick::inexperienced"
"tupman::forward";"winkle::forward"
"isabella_wardle::little";"isabella_wardle::old"
"tupman::cold";"tupman::old"
"rachael::consistent";"wardle::consistent"
"muggleton::devoted";"muggleton::loyal"
"muggleton::devoted";"muggleton::well"
"muggleton::loyal";"muggleton::well"
"dingley_dellers::amusing";"wardle::amusing"
"all-muggleton::distinguished";"dumkins::distinguished"
"all-muggleton::distinguished";"podder::distinguished"
"dumkins::distinguished";"podder::distinguished"
"dingley_dell::kind";"luffey::kind"
"dingley_dell::kind";"struggles::kind"
"luffey::kind";"struggles::kind"
"dingley_dell::proper";"luffey::proper"
"dingley_dell::proper";"struggles::proper"
"luffey::proper";"struggles::proper"
"dumkins::elderly";"podder::elderly"
"dumkins::slim";"podder::slim"
"dingley_dellers::short";"dumkins::short"
"dingley_dellers::short";"podder::short"
"dumkins::short";"podder::short"
"quanko::old";"thomas_blazo::old"
"alfred_jingle::good";"pickwick::good"
"alfred_jingle::good";"wardle::good"
"jingle::great";"jingle::ordinary"
"alexander::ordinary";"diogenes::ordinary"
"snodgrass::great";"snodgrass::useful"
"snodgrass::great";"snodgrass::valuable"
"snodgrass::useful";"snodgrass::valuable"
"tupman::fat";"tupman::forward"
"tupman::great";"tupman::prompt"
"emily::devoted";"emily::old"
"emily::devoted";"isabella_wardle::devoted"
"emily::devoted";"isabella_wardle::old"
"emily::devoted";"snodgrass::devoted"
"emily::devoted";"snodgrass::old"
"emily::devoted";"trundle::devoted"
"emily::devoted";"trundle::old"
"emily::devoted";"tupman::devoted"
"emily::devoted";"tupman::old"
"emily::old";"isabella_wardle::devoted"
"emily::old";"isabella_wardle::old"
"emily::old";"snodgrass::devoted"
"emily::old";"snodgrass::old"
"emily::old";"trundle::devoted"
"emily::old";"trundle::old"
"emily::old";"tupman::devoted"
"emily::old";"tupman::old"
"isabella_wardle::devoted";"isabella_wardle::old"
"isabella_wardle::devoted";"snodgrass::devoted"
"isabella_wardle::devoted";"snodgrass::old"
"isabella_wardle::devoted";"trundle::devoted"
"isabella_wardle::devoted";"trundle::old"
"isabella_wardle::devoted";"tupman::devoted"
"isabella_wardle::devoted";"tupman::old"
"isabella_wardle::old";"snodgrass::devoted"
"isabella_wardle::old";"snodgrass::old"
"isabella_wardle::old";"trundle::devoted"
"isabella_wardle::old";"trundle::old"
"isabella_wardle::old";"tupman::devoted"
"isabella_wardle::old";"tupman::old"
"snodgrass::devoted";"snodgrass::old"
"snodgrass::devoted";"trundle::devoted"
"snodgrass::devoted";"trundle::old"
"snodgrass::devoted";"tupman::devoted"
"snodgrass::devoted";"tupman::old"
"snodgrass::old";"trundle::devoted"
"snodgrass::old";"trundle::old"
"snodgrass::old";"tupman::devoted"
"trundle::devoted";"trundle::old"
"trundle::devoted";"tupman::devoted"
"trundle::devoted";"tupman::old"
"trundle::old";"tupman::devoted"
"trundle::old";"tupman::old"
"tupman::devoted";"tupman::old"
"emily::great";"jingle::great"
"emily::great";"snodgrass::great"
"jingle::great";"snodgrass::great"
"tupman::#-surprised";"tupman::fat"
"tupman::#-surprised";"tupman::great"
"tupman::#-surprised";"tupman::little"
"tupman::#-surprised";"tupman::old"
"tupman::fat";"tupman::great"
"tupman::fat";"tupman::little"
"tupman::fat";"tupman::old"
"tupman::great";"tupman::old"
"tupman::little";"tupman::old"
"rachael::fat";"rachael::old"
"jingle::determined";"jingle::young"
"pickwick::beautiful";"pickwick::fat"
"pickwick::alone";"pickwick::old"
"pickwick::alone";"wardle::alone"
"pickwick::alone";"wardle::old"
"pickwick::old";"wardle::alone"
"pickwick::old";"wardle::old"
"wardle::alone";"wardle::old"
"pickwick::exhausted";"pickwick::forward"
"pickwick::exhausted";"wardle::exhausted"
"pickwick::exhausted";"wardle::forward"
"pickwick::forward";"wardle::exhausted"
"pickwick::forward";"wardle::forward"
"wardle::exhausted";"wardle::forward"
"pickwick::calm";"pickwick::disturbed"
"pickwick::calm";"pickwick::upset"
"pickwick::disturbed";"pickwick::upset"
"sam::great";"vy::great"
"george_barnwell::short";"george_barnwell::well-known"
"george_barnwell::short";"george_barnwell::young"
"george_barnwell::short";"sam::short"
"george_barnwell::short";"sam::well-known"
"george_barnwell::short";"sam::young"
"george_barnwell::well-known";"george_barnwell::young"
"george_barnwell::well-known";"sam::short"
"george_barnwell::well-known";"sam::well-known"
"george_barnwell::well-known";"sam::young"
"george_barnwell::young";"sam::short"
"george_barnwell::young";"sam::well-known"
"george_barnwell::young";"sam::young"
"sam::short";"sam::well-known"
"sam::short";"sam::young"
"sam::well-known";"sam::young"
"rachael::mean";"wardle::mean"
"sam::violent";"wardle::violent"
"jingle::good";"jingle::little"
"jingle::little";"jingle::old"
"jingle::little";"wardle::little"
"perker::quiet";"wardle::quiet"
"pickwick::great";"pickwick::open"
"snodgrass::forward";"winkle::forward"
"pickwick::warm";"tupman::warm"
"pickwick::sentimental";"snodgrass::sentimental"
"pickwick::little";"pickwick::young"
"pickwick::old";"pickwick::young"
