"bumble::respectful";"mann::respectful"
"bumble::sure";"mann::sure"
"bumble::majestic";"oliver::majestic"
"bumble::second";"oliver::second"
"oliver::close";"oliver::impious"
"gamfield::certain";"oliver::certain"
"gamfield::general";"gamfield::particular"
"bumble::thankful";"oliver::thankful"
"bumble::open";"oliver::open"
"limbkins::cheerful";"oliver::cheerful"
"beadle::second";"bumble::second"
"beadle::second";"oliver::second"
"bumble::gloomy";"gamfield::gloomy"
"bumble::friendly";"sowerberry::friendly"
"bumble::general";"oliver::general"
"bumble::helpless";"oliver::helpless"
"oliver::cold";"sowerberry::cold"
"oliver::#-dainty";"oliver::negative"
"oliver::fearful";"oliver::silent"
"oliver::cold";"oliver::gloomy"
"oliver::calm";"oliver::heavy"
"oliver::impetuous";"oliver::loud"
"claypole::dignified";"oliver::dignified"
"noah::hearty";"oliver_twist::hearty"
"bumble::obstinate";"sowerberry::obstinate"
"bumble::strong";"oliver::strong"
"sowerberry::cheerful";"sowerberry::irrepressible"
"noah_claypole::vicious";"noah::vicious"
"noah_claypole::vicious";"oliver_twist::vicious"
"noah_claypole::vicious";"oliver::vicious"
"noah::vicious";"oliver_twist::vicious"
"noah::vicious";"oliver::vicious"
"oliver_twist::vicious";"oliver::vicious"
"noah::malicious";"oliver::malicious"
"noah::facetious";"oliver::facetious"
"claypole::curious";"claypole::violent"
"claypole::curious";"noah::curious"
"claypole::curious";"noah::violent"
"claypole::curious";"oliver::curious"
"claypole::curious";"oliver::violent"
"claypole::violent";"noah::curious"
"claypole::violent";"noah::violent"
"claypole::violent";"oliver::curious"
"claypole::violent";"oliver::violent"
"noah::curious";"noah::violent"
"noah::curious";"oliver::curious"
"noah::curious";"oliver::violent"
"noah::violent";"oliver::curious"
"noah::violent";"oliver::violent"
"oliver::curious";"oliver::violent"
"noah::sure";"oliver::sure"
"noah::heavy";"oliver::heavy"
"noah::cruel";"oliver::cruel"
"noah::cowardly";"oliver::cowardly"
"noah::cold";"sowerberry::cold"
"noah_claypole::rueful";"oliver::rueful"
"bumble::prudent";"sowerberry::prudent"
"bumble::heavy";"bumble::profuse"
"bumble::heavy";"oliver::heavy"
"bumble::heavy";"oliver::profuse"
"bumble::heavy";"sowerberry::heavy"
"bumble::heavy";"sowerberry::profuse"
"bumble::profuse";"oliver::heavy"
"bumble::profuse";"oliver::profuse"
"bumble::profuse";"sowerberry::heavy"
"bumble::profuse";"sowerberry::profuse"
"oliver::heavy";"oliver::profuse"
"oliver::heavy";"sowerberry::heavy"
"oliver::heavy";"sowerberry::profuse"
"oliver::profuse";"sowerberry::heavy"
"oliver::profuse";"sowerberry::profuse"
"sowerberry::heavy";"sowerberry::profuse"
"noah::complimentary";"sowerberry::complimentary"
"oliver::open";"oliver::timid"
"morrice::clean";"oliver::clean"
"dawkin::careless";"dawkin::intimate"
"dawkin::careless";"oliver::careless"
"dawkin::careless";"oliver::intimate"
"dawkin::intimate";"oliver::careless"
"dawkin::intimate";"oliver::intimate"
"oliver::careless";"oliver::intimate"
"john::classic";"john::rapid"
"john::classic";"oliver::classic"
"john::classic";"oliver::rapid"
"john::rapid";"oliver::classic"
"john::rapid";"oliver::rapid"
"oliver::classic";"oliver::rapid"
"charley_bates::sprightly";"charley_bates::tidy"
"charley_bates::sprightly";"oliver::sprightly"
"charley_bates::sprightly";"oliver::tidy"
"charley_bates::tidy";"oliver::sprightly"
"charley_bates::tidy";"oliver::tidy"
"oliver::sprightly";"oliver::tidy"
"oliver::open";"oliver::sudden"
"oliver::cool";"oliver::quiet"
"oliver::cool";"oliver::sorrowful"
"oliver::cool";"oliver::sweet"
"oliver::quiet";"oliver::sorrowful"
"oliver::quiet";"oliver::sweet"
"oliver::sorrowful";"oliver::sweet"
"oliver::peaceful";"oliver::tranquil"
"bedwin::solemn";"oliver::solemn"
"brownlow::#-philosophical";"brownlow::humane"
"brownlow::#-philosophical";"oliver::#-philosophical"
"brownlow::#-philosophical";"oliver::humane"
"brownlow::humane";"oliver::#-philosophical"
"brownlow::humane";"oliver::humane"
"oliver::#-philosophical";"oliver::humane"
"oliver::#-strong";"oliver::sudden"
"oliver::delicate";"oliver::general"
"oliver::delicate";"oliver::philosophical"
"oliver::general";"oliver::philosophical"
"bates::expressive";"bates::familiar"
"oliver::gracious";"sikes::gracious"
"charley_bates::violent";"fagin::violent"
"charley_bates::violent";"william_sikes::violent"
"fagin::violent";"william_sikes::violent"
"nancy::efficient";"nancy::prompt"
"nancy::efficient";"oliver::efficient"
"nancy::efficient";"oliver::prompt"
"nancy::prompt";"oliver::efficient"
"nancy::prompt";"oliver::prompt"
"oliver::efficient";"oliver::prompt"
"bedwin::abrupt";"brownlow::abrupt"
"bedwin::abrupt";"grimwig::abrupt"
"bedwin::abrupt";"oliver::abrupt"
"brownlow::abrupt";"grimwig::abrupt"
"brownlow::abrupt";"oliver::abrupt"
"grimwig::abrupt";"oliver::abrupt"
"bedwin::eager";"bedwin::weak"
