"farmer::traitorous";"woodman::traitorous"
"manette::stolid";"tellson::stolid"
"manette::feminine";"manette::formal"
"manette::feminine";"manette::headless"
"manette::formal";"manette::headless"
"lorry::delicate";"lorry::feminine"
"beauvais::vain";"monsieur_manette::vain"
"lorry::strong";"manette::strong"
"madame_defarge::cold";"madame_defarge::sensitive"
"lorry::stern";"monsieur_defarge::stern"
"lorry::free";"monsieur_defarge::free"
"lorry::slow";"monsieur_defarge::slow"
"lorry::submissive";"monsieur_defarge::submissive"
"defarge::military";"monsieur::military"
"jarvis::cold";"jarvis::restless"
"jarvis::cold";"jarvis::subtle"
"jarvis::restless";"jarvis::subtle"
"anno_domini::windy";"cruncher::windy"
"cruncher::industrious";"cruncher::orderly"
"cruncher::industrious";"cruncher::sufficient"
"cruncher::orderly";"cruncher::sufficient"
"cruncher::clean";"cruncher::domestic"
"cruncher::general";"cruncher::sarcastic"
"jerry::acute";"jerry::windy"
"jerry::acute";"tellson::acute"
"jerry::acute";"tellson::windy"
"jerry::windy";"tellson::acute"
"jerry::windy";"tellson::windy"
"tellson::acute";"tellson::windy"
"bailey::honest";"jerry::honest"
"jerry::gruff";"lorry::gruff"
"charles_darnay::serene";"lewis::serene"
"attorney-general::grave";"attorney-general::quiet"
"attorney-general::grave";"charles_darnay::grave"
"attorney-general::grave";"charles_darnay::quiet"
"attorney-general::grave";"jerry::grave"
"attorney-general::grave";"jerry::quiet"
"attorney-general::quiet";"charles_darnay::grave"
"attorney-general::quiet";"charles_darnay::quiet"
"attorney-general::quiet";"jerry::grave"
"attorney-general::quiet";"jerry::quiet"
"charles_darnay::grave";"charles_darnay::quiet"
"charles_darnay::grave";"jerry::grave"
"charles_darnay::grave";"jerry::quiet"
"charles_darnay::quiet";"jerry::grave"
"charles_darnay::quiet";"jerry::quiet"
"jerry::grave";"jerry::quiet"
"manette::helpless";"manette::open"
"barsad::unblushing";"stryver::unblushing"
"cly::virtuous";"cly::watchful"
"stryver::reckless";"stryver::strong"
"charles_darnay::congratulatory";"lorry::congratulatory"
"charles_darnay::congratulatory";"lucie_manette::congratulatory"
"charles_darnay::congratulatory";"manette::congratulatory"
"charles_darnay::congratulatory";"stryver::congratulatory"
"lorry::congratulatory";"lucie_manette::congratulatory"
"lorry::congratulatory";"manette::congratulatory"
"lorry::congratulatory";"stryver::congratulatory"
"lucie_manette::congratulatory";"manette::congratulatory"
"lucie_manette::congratulatory";"stryver::congratulatory"
"manette::congratulatory";"stryver::congratulatory"
"manette::grave";"manette::mournful"
"darnay::clean";"lorry::clean"
"darnay::open";"lucie_manette::open"
"jarvis_lorry::certain";"jarvis_lorry::sunny"
"manette::moderate";"manette::scientific"
"lorry::fanciful";"lorry::observant"
"lorry::fanciful";"lorry::open"
"lorry::observant";"lorry::open"
"lorry::heartless";"pross::heartless"
"lorry::heartless";"solomon::heartless"
"pross::heartless";"solomon::heartless"
"lorry::fearful";"lorry::true"
"lucie::pleasant";"pross::pleasant"
"lorry::vain";"pross::vain"
"darnay::natural";"lucie::natural"
"darnay::natural";"manette::natural"
"lucie::natural";"manette::natural"
"cook::strong";"cook::sullen"
"monseigneur::general";"monseigneur::particular"
"monsieur_orleans::dainty";"monsieur_paris::dainty"
"fancy_ball::close";"fancy_ball::swift"
"monsieur_the_marquis::slow";"monsieur_the_marquis::sure"
"gabelle::honest";"gabelle::sure"
"monsieur_the_marquis::loud";"monsieur_the_marquis::stable"
"gabelle::swift";"leonora::swift"
"gabelle::swift";"monsieur_gabelle::swift"
"leonora::swift";"monsieur_gabelle::swift"
"lucie_manette::compassionate";"lucie_manette::sweet"
"lucie::energetic";"pross::energetic"
"lucie::cheerful";"pross::cheerful"
"darnay::mournful";"darnay::reproachful"
"charles_darnay::straight";"lucie::straight"
"charles_darnay::straight";"pross::straight"
"lucie::straight";"pross::straight"
"stryver::busy";"stryver::sensitive"
"stryver::silent";"stryver::sullen"
"manette::formal";"ranelagh::formal"
"manette::formal";"stryver::formal"
"ranelagh::formal";"stryver::formal"
"lorry::intimate";"stryver::intimate"
"lorry::intimate";"tellson::intimate"
"stryver::intimate";"tellson::intimate"
"lorry::open";"lorry::weak"
"lorry::discreet";"stryver::discreet"
"lorry::contentious";"stryver::contentious"
"lorry::methodical";"stryver::methodical"
"manette::explicit";"stryver::explicit"
"stryver::forensic";"stryver::general"
"stryver::animated";"stryver::irresolute"
"stryver::animated";"stryver::purposeless"
"stryver::irresolute";"stryver::purposeless"
"carton::unhappy";"manette::unhappy"
"lucie_manette::sad";"manette::sad"
"cruncher::general";"cruncher::strong"
"bailey_spi::sure";"jerry::sure"
"cly::straight";"cruncher::straight"
"cly::straight";"jerry::straight"
"cruncher::straight";"jerry::straight"
"cly::general";"cruncher::general"
"cly::general";"jerry::general"
"cruncher::general";"jerry::general"
"young_jerry::gentle";"young_jerry::second"
"young_jerry::gentle";"young_jerry::sudden"
"young_jerry::gentle";"young_jerry::superstitious"
"young_jerry::second";"young_jerry::sudden"
"young_jerry::second";"young_jerry::superstitious"
"young_jerry::sudden";"young_jerry::superstitious"
"jerry::cunning";"jerry::fresh"
"cruncher::honest";"jerry::honest"
"defarge::certain";"jacques::certain"
"defarge::certain";"madame_defarge::certain"
"jacques::certain";"madame_defarge::certain"
"defarge::rough";"jacques_three::rough"
"damiens::eager";"damiens::open"
"damiens::eager";"jacques::eager"
"damiens::eager";"jacques::open"
"damiens::open";"jacques::eager"
"damiens::open";"jacques::open"
"jacques::eager";"jacques::open"
"antoine::unhappy";"gaspard::unhappy"
"barsad::genteel";"madame_defarge::genteel"
"barsad::genteel";"monsieur::genteel"
"madame_defarge::genteel";"monsieur::genteel"
"defarge::true";"ma'amselle_manette::true"
"lorry::quiet";"lorry::sweet"
"lorry::quiet";"lucie::quiet"
"lorry::quiet";"lucie::sweet"
"lorry::sweet";"lucie::quiet"
"lorry::sweet";"lucie::sweet"
"lucie::quiet";"lucie::sweet"
"charles::matter-of-fact";"pross::matter-of-fact"
"lorry::pleasant";"pross::pleasant"
"lucie::formal";"pross::formal"
"lorry::curious";"lorry::simple"
"lorry::curious";"pross::curious"
"lorry::curious";"pross::simple"
"lorry::simple";"pross::curious"
"lorry::simple";"pross::simple"
"pross::curious";"pross::simple"
"lorry::demonstrative";"lorry::friendly"
"lorry::strong";"lorry::uncertain"
"lorry::methodical";"lorry::neat"
