"ago";"consequences"
"elevation";"predict"
"#-was";"came"
"#-was";"match"
"came";"match"
"devise";"him"
"devise";"was"
"devise";"were"
"him";"was"
"him";"were"
"was";"were"
"consequences";"herself"
"consequences";"ill"
"consequences";"matter"
"consequences";"was"
"consequences";"who"
"consequences";"woman"
"herself";"ill"
"herself";"matter"
"herself";"was"
"herself";"who"
"herself";"woman"
"ill";"matter"
"ill";"was"
"ill";"who"
"ill";"woman"
"matter";"was"
"matter";"who"
"matter";"woman"
"was";"who"
"was";"woman"
"who";"woman"
"distinct";"now"
"distinct";"voice"
"distinct";"were"
"distinct";"wonderful"
"now";"voice"
"now";"were"
"now";"wonderful"
"voice";"were"
"voice";"wonderful"
"were";"wonderful"
"small";"want"
"after";"bewailing"
"after";"was"
"bewailing";"was"
"fellow";"was"
"fellow";"who"
"often";"was"
"girl";"now"
"girl";"were"
"girl";"taking"
"girl";"was"
"taking";"was"
"professions";"woman"
"girl";"seen"
"girl";"neglecting"
"neglecting";"were"
"tomorrow";"will"
"cousin";"will"
"considered";"cousin"
"considered";"pleasures"
"considered";"was"
"considered";"were"
"cousin";"pleasures"
"cousin";"was"
"cousin";"were"
"pleasures";"was"
"pleasures";"were"
"division";"was"
"economy";"matter"
"economy";"was"
"economy";"were"
"matter";"were"
"after";"aim"
"after";"herself"
"after";"impossible"
"aim";"herself"
"aim";"impossible"
"aim";"was"
"herself";"impossible"
"impossible";"was"
"take";"views"
"take";"was"
"take";"were"
"views";"was"
"views";"were"
"things";"was"
"things";"were"
"him";"just"
"him";"matter"
"him";"now"
"him";"take"
"just";"matter"
"just";"now"
"just";"take"
"just";"was"
"matter";"now"
"matter";"take"
"now";"take"
"now";"was"
"just";"will"
"take";"who"
"take";"will"
"who";"will"
"considered";"herself"
"considered";"matter"
"just";"leave"
"leave";"will"
"expectations";"will"
"change";"was"
"girl";"who"
"#-was";"complexion"
"#-was";"small"
"#-was";"voice"
"complexion";"small"
"complexion";"voice"
"small";"voice"
"aid";"awful"
"aid";"became"
"aid";"taking"
"aid";"was"
"aid";"word"
"awful";"became"
"awful";"taking"
"awful";"was"
"awful";"word"
"became";"taking"
"became";"was"
"became";"word"
"taking";"word"
"was";"word"
"cousin";"who"
"were";"who"
"take";"want"
"want";"were"
"unhappy";"was"
"everybody";"herself"
"increased";"was"
"increased";"wonderful"
"was";"wonderful"
"girl";"gooseberry"
"girl";"herself"
"gooseberry";"herself"
"gooseberry";"was"
"gooseberry";"were"
"herself";"were"
"along";"came"
"along";"herself"
"came";"herself"
"everybody";"was"
"acute";"were"
"herself";"leave"
"leave";"were"
"elder";"was"
"girl";"often"
"herself";"often"
"often";"were"
"often";"who"
"puzzled";"was"
"him";"increased"
"him";"lay"
"increased";"lay"
"girl";"leave"
"leave";"who"
"generally";"was"
"generally";"were"
"generally";"who"
"cousin";"him"
"cousin";"herself"
"cousin";"interesting"
"herself";"interesting"
"interesting";"were"
"now";"view"
"cousin";"everybody"
"became";"were"
"herself";"voice"
"voice";"was"
"was";"will"
"was";"worse"
"will";"worse"
"just";"who"
"decided";"was"
"#-confined";"was"
"bringing";"things"
"bringing";"were"
"considerate";"everybody"
"cousin";"wonderful"
"cousin";"pity"
"considered";"papa"
"considered";"things"
"papa";"things"
"#-was";"him"
"fetching";"take"
"fetching";"was"
"attachment";"was"
"after";"want"
"want";"was"
"girl";"mirth"
"girl";"views"
"mirth";"views"
"cousin";"things"
"change";"proving"
"considerate";"interests"
"considerate";"was"
"interests";"was"
"everybody";"mind"
"everybody";"pleasures"
"everybody";"were"
"mind";"pleasures"
"mind";"was"
"mind";"were"
"event";"was"
"economy";"herself"
"economy";"him"
"economy";"small"
"herself";"him"
"herself";"small"
"him";"small"
"died";"orders"
"died";"was"
"died";"were"
"orders";"was"
"orders";"were"
"elder";"event"
"elder";"pleasures"
"event";"pleasures"
"act";"easier"
"act";"impress"
"act";"producing"
"act";"was"
"easier";"impress"
"easier";"producing"
"easier";"was"
"impress";"producing"
"impress";"was"
"producing";"was"
