"" "#-alone" "#-bad" "#-cruel" "#-determined" "#-handsome" "#-plain" "#-pretty" "#-rich" "#-satisfied" "#-serious" "accomplished" "active" "admirable" "affectionate" "afraid" "agreeable" "alert" "alone" "amazing" "ambitious" "amusing" "angry" "anxious" "artificial" "ashamed" "attentive" "attractive" "awake" "awful" "awkward" "bad" "beautiful" "bitter" "blind" "bold" "bright" "brilliant" "busy" "calm" "capable" "careful" "careless" "cautious" "certain" "charming" "cheap" "cheerful" "clever" "cold" "comfortable" "compassionate" "compatible" "competent" "concerned" "confident" "confused" "conscientious" "considerate" "consistent" "cool" "courteous" "critical" "cruel" "curious" "dangerous" "daring" "decent" "delighted" "delightful" "dependent" "desirable" "determined" "devoted" "difficult" "direct" "disappointed" "disgusting" "disrespectful" "distinguished" "eager" "embarrassed" "embarrassing" "encouraging" "entertaining" "evil" "excellent" "excited" "exciting" "expressive" "extraordinary" "fair" "faithful" "familiar" "famous" "fat" "feminine" "fine" "foolish" "forgetful" "fortunate" "forward" "friendly" "generous" "gentle" "genuine" "glad" "good" "graceful" "gracious" "grateful" "great" "handsome" "happy" "hard" "helpless" "honest" "hopeful" "humorous" "ignorant" "impatient" "important" "incompetent" "inconsiderate" "independent" "inexperienced" "innocent" "intellectual" "intelligent" "interested" "interesting" "involved" "irrational" "irritated" "jealous" "joyful" "kind" "lazy" "liberal" "little" "lively" "lonely" "loud" "lovely" "loyal" "lucky" "mean" "modest" "natural" "neat" "negative" "nervous" "nice" "noisy" "offensive" "old" "open" "ordinary" "original" "pathetic" "persuasive" "plain" "playful" "pleasant" "pleased" "pleasing" "polite" "poor" "popular" "positive" "powerful" "practical" "prejudiced" "pretty" "private" "professional" "prominent" "proper" "prosperous" "proud" "punctual" "quiet" "reasonable" "religious" "remarkable" "respectable" "respected" "respectful" "rich" "ridiculous" "romantic" "rough" "rude" "sad" "sarcastic" "satisfied" "secure" "selfish" "sensible" "serious" "short" "shy" "sincere" "smart" "sociable" "social" "spontaneous" "stable" "strange" "strict" "strong" "stupid" "successful" "surprised" "suspicious" "sweet" "sympathetic" "talkative" "tall" "terrible" "terrific" "thankful" "thin" "thorough" "thoughtful" "thoughtless" "tired" "tough" "uncomfortable" "unemployed" "unfriendly" "unhappy" "unlucky" "unreasonable" "unusual" "useful" "valuable" "warm" "weak" "wise" "wonderful" "worthy" "young" "violent" "wasteful" "well" "spoiled"
"accomplished" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"active" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 1 0 0 0 2 3 0 2 0 0 1 0 0 4 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 2 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 0 1 0 2 0 0 0 0 0 3 0 0 1 0 3 0 0 0 1 0 1 0 0 0 0 2 0 1 1 4 9 1 0 0 8 1 4 0 1 0 1 0 0 3 3 0 1 0 0 0 0 0 1 1 0 1 1 0 1 2 0 0 10 1 0 0 1 0 0 0 2 3 0 0 0 0 0 0 4 0 0 0 0 0 0 0 2 2 1 0 7 0 0 0 0 1 2 1 0 0 4 0 0 0 4 0 0 0 1 0 0 0 0 0 1 1 1 0 4 0 1 1 0 2 0 1 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 5 0 0 0 0 1 0 5 1 0 0 0
"admirable" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"affectionate" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 0 2 0 0 0 4 4 0 1 1 1 0 0 0 2 1 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 1 1 5 0 0 0 0 1 0 0 2 1 1 0 1 0 1 1 0 0 0 1 0 2 4 1 0 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 1 1 0 2 0 0 0 2 0 0 1 0 0 0 0 1 5 7 0 0 1 8 0 7 1 0 0 0 0 1 1 2 0 0 1 0 0 0 0 0 2 0 0 0 0 0 3 0 1 10 1 0 0 1 0 0 1 3 3 0 0 0 1 0 0 3 0 0 1 0 0 0 0 1 1 0 0 4 0 3 1 0 0 2 0 0 0 4 0 1 1 1 1 0 2 0 0 0 1 0 0 0 0 3 0 3 1 0 1 1 2 0 0 0 0 0 0 0 1 0 5 1 1 3 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 2 4 0 0 1 0 7 0 0 0 0
"afraid" 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0 7 0 3 1 0 1 6 7 1 5 1 1 2 1 2 8 1 0 2 1 1 0 2 2 1 1 0 1 1 0 2 2 3 2 5 0 0 1 0 0 0 0 2 0 0 0 0 0 1 1 0 0 3 2 0 1 4 1 1 0 1 1 1 0 4 0 0 1 0 0 4 0 1 0 1 7 0 0 1 0 1 7 3 1 1 1 1 1 4 1 9 19 0 0 4 16 2 15 0 0 0 0 0 0 3 2 0 0 1 1 0 0 0 2 2 0 0 0 0 1 3 0 0 23 5 0 2 2 0 0 0 1 7 1 0 0 2 0 0 11 3 0 2 0 0 0 0 3 4 0 0 11 0 2 0 0 0 5 3 0 0 3 0 1 0 6 1 0 0 4 1 0 1 2 0 0 1 2 1 7 0 1 4 9 10 1 1 0 0 1 0 1 1 1 6 0 2 8 0 4 0 0 1 1 0 1 0 0 2 2 3 0 0 1 0 1 2 1 2 6 3 2 0 1 2 1 15 0 0 0 0
"agreeable" 0 0 0 0 1 1 0 0 0 0 1 3 0 3 7 0 0 2 2 0 0 7 5 0 4 2 2 0 2 2 9 2 1 1 0 1 0 3 3 5 0 2 1 7 1 0 4 6 2 5 1 0 0 1 0 1 1 0 0 0 3 1 0 2 0 0 0 3 4 1 1 3 0 3 0 2 1 0 1 3 0 1 0 2 1 6 0 0 1 3 8 0 1 2 1 1 9 2 0 2 0 3 1 5 1 11 34 2 0 3 33 3 20 2 1 2 0 0 0 1 3 0 0 3 0 0 1 0 1 4 0 1 1 0 0 8 0 0 30 6 0 2 5 0 2 0 4 12 1 0 0 5 1 0 10 8 1 2 0 0 1 2 15 10 5 0 6 1 1 0 0 1 11 2 1 0 5 1 2 1 7 3 0 1 3 1 0 1 1 0 1 0 3 1 11 2 2 4 5 10 0 2 0 0 2 0 2 2 0 10 2 2 5 0 7 1 1 1 1 0 2 0 0 1 1 1 0 0 1 1 2 1 2 2 8 3 6 1 0 4 2 26 0 0 0 0
"alert" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"alone" 0 0 0 0 0 0 0 0 0 0 0 1 0 2 3 2 1 0 0 0 0 4 3 0 1 0 0 2 0 2 3 0 0 0 0 0 1 1 1 0 0 0 0 2 0 0 4 1 0 4 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 2 0 3 5 0 1 0 0 1 0 0 2 0 0 0 0 0 2 0 1 1 2 5 0 0 0 0 1 5 1 0 0 0 3 1 0 1 6 14 0 0 1 11 1 7 0 1 0 1 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 1 2 3 0 2 14 1 0 1 2 0 1 0 1 2 0 0 1 1 0 1 4 0 0 1 0 0 0 1 3 2 0 0 6 0 1 0 0 0 1 2 0 0 3 2 0 1 1 3 0 0 0 0 0 0 2 0 0 0 2 0 1 0 3 1 1 5 0 0 0 1 0 1 1 0 1 1 0 0 3 0 1 0 2 0 2 0 0 0 0 0 0 0 1 0 0 0 2 0 0 1 2 1 0 0 0 0 0 4 1 1 1 0
"amazing" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 2 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 3 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 4 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 2 0 2 0 0 0 0
"ambitious" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 0 0 3 0 1 0 0 1 1 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0
"amusing" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 3 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 2 0 0 0 0
"angry" 0 0 0 0 0 0 0 0 0 0 0 2 0 4 6 7 0 4 0 0 1 0 1 0 4 1 1 1 0 1 2 1 1 0 1 0 0 1 2 2 0 0 0 2 0 0 1 1 0 3 1 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 1 1 1 1 4 0 0 0 1 1 1 0 2 0 0 0 0 0 2 0 1 1 3 3 0 1 0 0 0 5 1 0 1 0 1 1 2 0 7 16 0 0 2 13 3 8 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 2 0 2 0 0 1 4 0 0 15 1 0 0 1 0 0 0 0 3 0 0 2 1 1 0 2 3 0 0 0 1 1 0 4 2 0 0 3 0 1 0 0 0 4 3 0 0 3 1 0 1 2 2 0 1 1 0 0 1 0 1 0 0 1 1 5 1 2 1 5 6 2 0 0 0 0 0 0 1 0 6 1 0 3 0 2 1 1 0 1 0 1 0 0 0 0 0 0 1 0 1 2 3 3 0 2 1 2 0 0 3 0 10 0 0 1 0
"anxious" 1 0 0 0 0 0 0 0 0 1 0 3 0 4 7 5 0 3 0 2 1 1 0 1 4 1 0 0 0 0 6 1 2 0 0 2 0 2 1 1 0 3 0 4 1 0 3 1 2 6 0 0 0 1 1 1 0 1 4 1 1 2 0 0 1 0 1 3 5 0 3 4 0 2 0 2 0 1 1 3 0 1 0 1 0 2 0 0 0 1 9 0 1 0 0 0 7 0 0 2 0 3 1 3 3 12 25 1 1 3 25 2 13 2 0 2 2 1 3 4 5 0 1 2 1 2 1 0 0 2 1 0 0 0 2 4 1 1 29 3 0 2 1 0 1 2 2 6 0 0 0 0 0 0 9 6 1 1 1 0 0 1 3 4 1 0 14 1 2 0 0 0 6 4 0 0 7 1 2 1 3 0 0 1 3 0 0 3 2 0 1 0 3 0 10 2 1 3 5 14 0 1 0 0 0 0 0 2 1 5 1 0 4 1 3 0 0 1 4 0 5 0 0 0 0 4 0 3 1 0 3 2 1 0 4 1 4 0 0 3 1 15 1 0 0 0
