"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"1","abrasive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","abrupt",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3","absent-minded",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","abstinent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","abstract",6,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
"6","abusive",6,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0
"7","acceptant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","accessible",9,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0
"9","accommodating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","accomplished",11,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0
"11","accurate",13,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"12","acid",2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"13","acquiescent",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"14","acquisitive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","active",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16","adaptable",4,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
"17","adaptive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","adjustable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","adulterous",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","adventurous",10,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1
"21","affable",12,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1
"22","affected",10,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1
"23","affectionate",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24","affirmative",5,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
"25","aggressive",3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"26","agitable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","agitative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","agreeable",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"29","aimful",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","aimless",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"31","alarmable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","alert",2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"33","aloof",10,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0
"34","altruistic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","ambitious",8,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0
"36","amiable",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37","amicable",5,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0
"38","amorous",6,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1
"39","analytical",2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"40","angelic",6,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0
"41","animated",2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"42","antagonistic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","anticipative",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"44","antisocial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","anxious",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"46","apathetic",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"47","appreciative",4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"48","approachable",3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"49","arbitrary",6,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0
"50","arbitrative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","argumentative",12,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
"52","aristocratic",9,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0
"53","arrogant",7,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0
"54","articulate",3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"55","artistic",5,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
"56","ascendant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","asocial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","assertive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","assured",8,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0
"60","astute",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","audacious",12,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1
"62","austere",4,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
"63","authoritative",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","autocratic",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"65","autonomous",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","aweless",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","awkward",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"68","balky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","bashful",11,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1
"70","belligerent",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"71","bendable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","beneficent",9,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0
"73","benevolent",13,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
"74","biased",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","big-mouthed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","bigheaded",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","bighearted",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","bigoted",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","bitter",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"80","bland",10,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1
"81","blase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","blasphemous",2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"83","blunt",11,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1
"84","blunt-witted",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","blustery",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","boastful",10,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1
"87","boastless",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","boisterous",12,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1
"89","bold",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"90","bookish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","boorish",3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"92","bossy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","bountiful",4,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"94","boyish",12,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"95","brainy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","brash",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","brave",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"98","brawlsome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","brazen",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"100","breezy",5,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1
"101","bright",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"102","brisk",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"103","bristly",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"104","broad-minded",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","broad-spoken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","broody",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","brusque",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","brutal",10,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1
"109","bubbly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","bullheaded",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","bullish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","bullying",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","buoyant",7,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1
"114","businesslike",3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"115","busyish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","cagy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","calculable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","calculating",4,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
"119","callous",4,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
"120","calm",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"121","candid",12,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1
