"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"1","abrasive",0,0,0,0,0,0,0
"2","abrupt",3,1,1,0,0,1,0
"3","absent-minded",0,0,0,0,0,0,0
"4","abstinent",0,0,0,0,0,0,0
"5","abstract",0,0,0,0,0,0,0
"6","abusive",1,0,0,0,0,1,0
"7","acceptant",0,0,0,0,0,0,0
"8","accessible",0,0,0,0,0,0,0
"9","accommodating",0,0,0,0,0,0,0
"10","accomplished",5,1,1,0,1,1,1
"11","accurate",2,0,1,0,0,1,0
"12","acid",0,0,0,0,0,0,0
"13","acquiescent",0,0,0,0,0,0,0
"14","acquisitive",0,0,0,0,0,0,0
"15","active",6,1,1,1,1,1,1
"16","adaptable",0,0,0,0,0,0,0
"17","adaptive",0,0,0,0,0,0,0
"18","adjustable",0,0,0,0,0,0,0
"19","adulterous",0,0,0,0,0,0,0
"20","adventurous",1,1,0,0,0,0,0
"21","affable",3,1,0,0,0,1,1
"22","affected",6,1,1,1,1,1,1
"23","affectionate",6,1,1,1,1,1,1
"24","affirmative",0,0,0,0,0,0,0
"25","aggressive",0,0,0,0,0,0,0
"26","agitable",0,0,0,0,0,0,0
"27","agitative",0,0,0,0,0,0,0
"28","agreeable",6,1,1,1,1,1,1
"29","aimful",0,0,0,0,0,0,0
"30","aimless",0,0,0,0,0,0,0
"31","alarmable",0,0,0,0,0,0,0
"32","alert",2,1,1,0,0,0,0
"33","aloof",0,0,0,0,0,0,0
"34","altruistic",0,0,0,0,0,0,0
"35","ambitious",2,0,1,0,1,0,0
"36","amiable",6,1,1,1,1,1,1
"37","amicable",1,0,0,0,1,0,0
"38","amorous",0,0,0,0,0,0,0
"39","analytical",0,0,0,0,0,0,0
"40","angelic",1,0,0,0,0,1,0
"41","animated",5,1,1,0,1,1,1
"42","antagonistic",0,0,0,0,0,0,0
"43","anticipative",0,0,0,0,0,0,0
"44","antisocial",0,0,0,0,0,0,0
"45","anxious",6,1,1,1,1,1,1
"46","apathetic",0,0,0,0,0,0,0
"47","appreciative",0,0,0,0,0,0,0
"48","approachable",1,0,0,0,1,0,0
"49","arbitrary",1,0,1,0,0,0,0
"50","arbitrative",0,0,0,0,0,0,0
"51","argumentative",1,1,0,0,0,0,0
"52","aristocratic",1,0,0,0,1,0,0
"53","arrogant",1,0,0,0,0,1,0
"54","articulate",0,0,0,0,0,0,0
"55","artistic",0,0,0,0,0,0,0
"56","ascendant",0,0,0,0,0,0,0
"57","asocial",0,0,0,0,0,0,0
"58","assertive",0,0,0,0,0,0,0
"59","assured",4,1,1,1,0,0,1
"60","astute",0,0,0,0,0,0,0
"61","audacious",1,0,1,0,0,0,0
"62","austere",0,0,0,0,0,0,0
"63","authoritative",2,0,1,0,0,1,0
"64","autocratic",0,0,0,0,0,0,0
"65","autonomous",0,0,0,0,0,0,0
"66","aweless",0,0,0,0,0,0,0
"67","awkward",6,1,1,1,1,1,1
"68","balky",0,0,0,0,0,0,0
"69","bashful",2,0,0,0,0,1,1
"70","belligerent",0,0,0,0,0,0,0
"71","bendable",0,0,0,0,0,0,0
"72","beneficent",0,0,0,0,0,0,0
