"","x"
"1","absentmi"
"2","abstinen"
"3","abstract"
"4","abusive"
"5","acceptan"
"6","accessib"
"7","accommod"
"8","accompli"
"9","acid"
"10","acquiesc"
"11","acquisit"
"12","adaptabl"
"13","adaptive"
"14","adjustab"
"15","adultero"
"16","adventur"
"17","affected"
"18","affectio"
"19","affirmat"
"20","aggressi"
"21","agitable"
"22","agitativ"
"23","agreeabl"
"24","aimful"
"25","aimless"
"26","alarmabl"
"27","alert"
"28","aloof"
"29","altruist"
"30","ambitiou"
"31","amicable"
"32","amorous"
"33","analytic"
"34","angelic"
"35","antagoni"
"36","anticipa"
"37","antisoci"
"38","apatheti"
"39","apprecia"
"40","approach"
"41","arbitrar"
"42","arbitrat"
"43","argument"
"44","aristocr"
"45","arrogant"
"46","articula"
"47","artistic"
"48","ascendan"
"49","asocial"
"50","assertiv"
"51","assured"
"52","astute"
"53","audaciou"
"54","austere"
"55","authorit"
"56","autocrat"
"57","autonomo"
"58","aweless"
"59","balky"
"60","belliger"
"61","bendable"
"62","benefice"
"63","benevole"
"64","biased"
"65","bigheade"
"66","bigheart"
"67","bigmouth"
"68","bigoted"
"69","bland"
"70","blase"
"71","blasphem"
"72","bluntwit"
"73","blustery"
"74","boastful"
"75","boastles"
"76","boistero"
"77","bookish"
"78","bossy"
"79","bountifu"
"80","brainy"
"81","brash"
"82","brave"
"83","brawlsom"
"84","brazen"
"85","breezy"
"86","brisk"
"87","bristly"
"88","broadmin"
"89","broadspo"
"90","broody"
"91","brusque"
"92","bubbly"
"93","bullhead"
"94","bullish"
"95","bullying"
"96","buoyant"
"97","business"
"98","busyish"
"99","cagy"
"100","calculab"
"101","calculat"
"102","candid"
"103","canny"
"104","cantanke"
"105","capricio"
"106","carefree"
"107","careworn"
"108","casual"
"109","catty"
"110","caustic"
"111","cavalier"
"112","censoria"
"113","cerebral"
"114","ceremoni"
"115","changeab"
"116","changele"
"117","charitab"
"118","chaste"
"119","chatty"
"120","cherubic"
"121","chic"
"122","childlik"
"123","chipper"
"124","chitchat"
"125","chivalro"
"126","choosy"
"127","circumsp"
"128","civil"
"129","civilize"
"130","clairvoy"
"131","clannish"
"132","clearcut"
"133","clearhea"
"134","clearsig"
"135","clearthi"
"136","clingy"
"137","cliquish"
"138","closedmi"
"139","closefis"
"140","closemou"
"141","clownish"
"142","cocky"
"143","coercive"
"144","coldhear"
"145","combativ"
"146","communic"
"147","companio"
"148","compassl"
"149","compasst"
"150","competit"
"151","complace"
"152","complain"
"153","complais"
"154","complex"
"155","complian"
"156","complica"
"157","complime"
