"" "burnt" "cheerful" "disagreeable" "evident" "fanciful" "human" "next" "ragged" "sick" "perfect" "real" "tremendous" "whither" "safe"
"burnt" 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"cheerful" 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"disagreeable" 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"evident" 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"fanciful" 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"human" 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"next" 0 0 0 0 0 0 0 0 0 0 2 0 0 2
"ragged" 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"sick" 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"perfect" 0 0 1 1 0 0 0 0 0 0 0 0 0 0
"real" 0 0 0 0 1 0 2 0 0 0 0 0 0 0
"tremendous" 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"whither" 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"safe" 0 0 0 0 0 0 2 0 0 0 0 0 0 0
