"narrow";"sunny"
"gracious";"greedy"
"affectionate";"practical"
"particular";"practical"
"practical";"reproachful"
"curious";"explosive"
"dissatisfied";"practical"
"dissatisfied";"prime"
"dissatisfied";"restless"
"practical";"prime"
"practical";"restless"
"prime";"restless"
"frightened";"quick"
"#-unkind";"kind"
"stable";"tight-fitting"
"#-orderly";"#-tidy"
"dull";"political"
"complimentary";"expressive"
"complimentary";"jolly"
"expressive";"jolly"
"patient";"respectful"
"curious";"rugged"
"curious";"shrewd"
"curious";"tight"
"rugged";"shrewd"
"rugged";"tight"
"shrewd";"tight"
"gentle";"moral"
"bold";"outspoken"
"natural";"serious"
"melancholy";"quiet"
"certain";"merciful"
"bright";"quiet"
"bright";"reserved"
"quiet";"reserved"
"#-impulsive";"dispassionate"
"steady";"straight"
"cold";"impassive"
"cold";"proud"
"impassive";"proud"
"courageous";"direct"
"beneficent";"kind"
"genteel";"warm"
"ladylike";"rude"
"exact";"proud"
"fanciful";"graceful"
"conventional";"natural"
"sullen";"ungracious"
"#-honest";"#-manly"
"#-honest";"cunning"
"#-manly";"cunning"
"complacent";"earnest"
"complacent";"intellectual"
"earnest";"intellectual"
"quiet";"silent"
"abrupt";"timid"
"accessible";"wild"
"#-indifferent";"careless"
"doleful";"silent"
"agreeable";"loving"
"moral";"strict"
"defiant";"suspicious"
"modest";"natural"
"cold";"fearful"
"#-mild";"ignorant"
"cheerful";"persistent"
"chaste";"particular"
"reasonable";"thoughtful"
"curious";"original"
"nervous";"respectful"
"contented";"loving"
"anxious";"steady"
"earnest";"quiet"
"friendly";"vague"
"honest";"independent"
"indifferent";"melancholy"
"bright";"rough"
"deep";"profound"
