"exact";"precise"
"deepening";"kindling"
"impatient";"quick"
"affection";"confidence"
"affection";"intimate"
"affection";"tender"
"confidence";"intimate"
"confidence";"tender"
"intimate";"tender"
"certainly";"rough"
"consolation";"languidly"
"expression—of";"moral"
"resources";"slowly"
"considerable—to";"property—which"
"gloomy";"learned"
"gloomy";"roughly"
"learned";"roughly"
"energetic";"opportunity"
"bright";"studiously"
"cold";"frightened"
"#-faithful";"wild"
"constrained";"reserved"
"business";"materials"
"business";"silent"
"materials";"silent"
"cherubic";"conventionally"
"cherubic";"scornful"
"conventionally";"scornful"
"deep";"distrust"
"deep";"natural"
"distrust";"natural"
"cold";"wise—Every"
"question";"warm'"
"anticipating";"question"
"exactly";"literary"
"considering";"literary"
"considering";"tight"
"literary";"tight"
"earnestly";"kindly"
"generous";"understand"
"gentleman";"quick"
"cold";"discernible"
"evasive";"slowly"
"gracious";"literary"
"chivalrous";"manly"
"responsible";"straight"
"responsible";"unflinching"
"straight";"unflinching"
"authority";"firmness"
"punctual'";"submissively"
"blunt";"sentiment"
"melancholy";"wilderness"
"gentlemen";"quickly"
"ambitious";"reflection"
"morality";"strict"
"narrow";"vaguely"
"natural";"slowly"
"corrective";"inwardly"
"approaches";"uncompromisingly"
"complaint";"melancholy"
"distrustfully";"suspiciously"
"expressions";"informed"
"kinds";"property"
"business";"question"
"particularly";"property"
"business";"considered"
"protecting";"warms"
"instruction";"property"
"excessively";"temperate"
"abrupt";"meditations"
"gentleman";"just"
"gentleman";"property"
"just";"property"
"discreet";"reflection"
"bold";"practical"
"gentleman";"suggestion"
"deep";"intuitive"
"deep";"pensively"
"intuitive";"pensively"
"extravagance";"live"
"brighter";"pleasant"
"ignorant";"religious"
"ignorant";"unpolished"
"religious";"unpolished"
"faithful";"honest"
"certain";"mistrust"
"certain";"trustworthy"
"mistrust";"trustworthy"
"business";"honest"
"arguments";"lively"
"arguments";"progress"
"lively";"progress"
"conventional";"daring"
"conventional";"graciously"
"conventional";"inconsistencies"
"conventional";"kind"
"conventional";"submission"
"daring";"graciously"
"daring";"inconsistencies"
"daring";"kind"
"daring";"submission"
"graciously";"inconsistencies"
"graciously";"kind"
"graciously";"submission"
"inconsistencies";"kind"
"inconsistencies";"submission"
"kind";"submission"
"gallantly";"naturally"
"conversation";"emphatic"
"anxiously";"business"
"anxiously";"competition"
"business";"competition"
"condescending";"tidy"
"certain";"property'"
"expression";"heroic"
"expression";"serenely"
"heroic";"serenely"
"honest";"straight"
"frankly";"natural"
"irrepressible";"spitefully"
"expression";"gentleman'"
"expression";"mercifully"
"gentleman'";"mercifully"
"particularly";"punctual"
"particularly";"quiet"
"punctual";"quiet"
"gentleman";"mature"
"mature";"property"
"particularly";"stable-yard"
"agreeable";"naturally"
"dull";"livery"
"dull";"stable-yard"
"livery";"stable-yard"
"approaches";"considers"
"cold";"lively"
"gentleman";"moody"
"gentleman";"straight"
"moody";"straight"
"feminine";"resource"
"adventurer?'";"dull"
"adventurer?'";"greedy"
"dull";"greedy"
"loving";"particular'"
"passionate";"silent"
"particularly";"social"
"expressive";"sedately"
"certain";"considered"
"obtrusively";"sentiment"
"#-understand";"gentleman"
"gentleman";"profound"
"gentleman";"gracious"
"possession";"property"
"curious";"straight"
"contemplation";"restraining"
"gentler";"silently"
"gentler";"suspicions"
"silently";"suspicions"
"certain";"exactly"
"frightened";"understand"
"meek";"unpolite"
"agreeable";"intimated"
"agreeable";"meek"
"agreeable";"question—as"
"intimated";"meek"
"intimated";"question—as"
"meek";"question—as"
"meek";"seriously"
"#-consideration";"selfish"
"#-consideration";"stormy"
"selfish";"stormy"
"affectionate";"sentiment"
"business'";"carefully"
"doggedly";"reliant"
"certainly";"understanding"
"emphatically";"slowly"
"alert";"impatiently"
"intellects";"question"
"cool";"steady"
"authorities";"gentlemen"
"authorities";"promptly"
"gentlemen";"promptly"
"hospitable";"warmly"
"certain";"information"
"coolness";"gentlemen"
"bright";"deep"
"negligent";"reckless"
"negligent";"wildest"
"reckless";"wildest"
"gallant";"independent"
"gallant";"philanthropy"
"fierce";"submissively"
"authority";"persuasively"
"deliberation";"mature"
"cold";"opportunity"
"civilian";"disordered"
"corrective";"distrustful"
"consider";"curious"
"literary";"severe"
"orderly";"quietly"
"consideration";"indefinite"
"literary";"property?'"
"jealousy";"literary"
"pleasure";"slowly"
"anxious";"leisurely"
"gentleman";"literary"
"appreciable";"understand"
"confidence";"friendly"
"certainly'";"frightened?'"
"gentleman";"philosophy"
"knowledge";"mistrusted"
"anticipated";"consideration"
"mistrust";"vague"
"mistrust";"worldly-wise"
"vague";"worldly-wise"
"honest";"severe"
"gloomy";"questioned"
"agreeable";"maternal"
"considerations";"quickened"
"childish";"shy"
"live";"lives"
"kind";"ruthless"
"brightened";"sympathetic"
"bright";"proud"
"bright";"kind"
"quick";"quiet"
"#-knowledge";"approaching"
"business";"pleasure"
"#-consider";"intrusive"
"casual";"discreet"
"business'";"curious"
"aristocratic";"indefinite"
"bland";"business-cards"
"individuality";"thoughtful"
"#-unlearned";"learned"
"morally";"severely"
"ignorant";"particular"
"determined";"learned"
"determined";"shrewder"
"learned";"shrewder"
"confidence";"indecision"
"moody";"proud"
"moody";"sullen"
"proud";"sullen"
"business";"pleasure'"
"active";"tense"
"kind";"natural"
"kind";"quiet"
"natural";"quiet"
"accurately";"giving"
"pleasant";"quiet"
"#-justified";"understand"
"#-selfishly";"steadfast"
"coolly";"gentleman"
"gentleman";"narrowly"
"bright";"playfully"
"certain";"perceptible"
"earnestness";"generous"
"earnestness";"suspicion"
"earnestness";"unselfish"
"generous";"suspicion"
"generous";"unselfish"
"suspicion";"unselfish"
"gentleman";"understand"
"indefinite";"vague"
"business";"confused"
"brutality";"sensual"
"distracted";"instructed"
"distracted";"intellect"
"instructed";"intellect"
"certain";"intelligence"
"kind";"lives"
"gentleman";"polite"
"contemplated";"materials"
"contemplated";"promptly"
"contemplated";"respectfully"
"materials";"promptly"
"materials";"respectfully"
"promptly";"respectfully"
"earnestly";"sternly"
"communicates";"elegant"
"facetious";"pleasure"
"business";"modest"
"sentiment";"warm"
"enthusiastic";"gracious"
"enthusiastic";"suspicious"
"enthusiastic";"tenderness?'"
"gracious";"suspicious"
"gracious";"tenderness?'"
"suspicious";"tenderness?'"
"determined";"serious?'"
"certain";"playfully"
"expressive";"quietly"
"#-respectful";"gentleman"
"devilish";"quickness"
"devilish";"warm"
"quickness";"warm"
"prompt";"prompted"
"natural";"unconstrained"
"directed";"gentleman"
"directed";"slow"
"gentleman";"slow"
"considered";"original"
"conversation";"ingenious"
"affections'";"gentleman's"
"question";"questions"
"objective";"restrain"
"objective";"subjective"
"restrain";"subjective"
"natural";"proper"
"natural";"question!'"
"natural";"simple"
"proper";"question!'"
"proper";"simple"
"question!'";"simple"
"abstinence";"cheerful"
"gentleman";"miserly"
"gentleman";"kind"
"modestly";"natural"
"information";"just"
"directed";"worldly"
"business";"patient"
"intellectual";"quiet"
"#-anxious";"cultivate"
"#-anxious";"moral"
"#-anxious";"philosopher"
"#-anxious";"punctuality"
"#-anxious";"serious"
"cultivate";"moral"
"cultivate";"philosopher"
"cultivate";"punctuality"
"cultivate";"serious"
"moral";"philosopher"
"moral";"punctuality"
"moral";"serious"
"philosopher";"punctuality"
"philosopher";"serious"
"punctuality";"serious"
"indifference";"reckless"
"certain";"enlightenment'"
"inquiringly";"suspiciously"
"contemplation";"serenely"
"cold";"cruel"
"boyish";"selfishness"
"coarse'";"insolent"
"just";"knowledge"
"#-justified";"determined"
"coolly";"natural"
"bitterly";"earnest"
"melancholy";"reproach"
"aristocratic";"literary"
"anticipate";"blandishments"
"kindly";"mistrustful"
"kindly";"tender"
"mistrustful";"tender"
"careless";"diplomatic"
"politely";"source"
"confident";"thoroughly"
"gentleman";"irritable"
"determined";"expression"
"calm";"unaccompanied"
"calm";"undignified"
"unaccompanied";"undignified"
"suspicious";"unsatisfied"
"certain";"soured"
"friendly";"passively"
"anticipating";"candidly"
"anticipating";"friendly"
"anticipating";"justice"
"candidly";"friendly"
"candidly";"justice"
"friendly";"justice"
"aristocratic";"property"
"perception";"quick"
"authorities";"certain"
"authorities";"genteel"
"authorities";"social"
"certain";"genteel"
"certain";"social"
"genteel";"social"
"cool";"jealousy!'"
"conversation";"opportunity"
"coolly";"exactly"
"#-patronize";"directing"
"calculated";"elegant"
"certain";"companions"
"just";"reproached"
"impudent";"pleasure"
"lived";"mercenary"
"amiable";"mercenary"
"exactly";"proper"
"cordiality";"pleasant"
"mistrustful";"submission"
"conciliated";"worldly-minded"
"opportunity";"persuasively"
"particular";"politely"
"pleasant";"womanly"
"loving—and";"patients"
"quick";"understand"
"forbearing";"wise"
"distantly";"learned"
"just";"kindest"
"reproach";"superstition?'"
"question";"seriously"
"industrious";"serious"
"irresponsive";"naturally"
"irresponsive";"primitive"
"naturally";"primitive"
"complacent";"live?"
"complacent";"transparent"
"live?";"transparent"
"construction";"straight"
"restrain";"restrained"
"certain";"expression"
"impertinent";"vain"
"sparkling";"steadfastly"
"sparkling";"thoughtfully"
"steadfastly";"thoughtfully"
"earnest";"forgetful"
"certain";"disrespectfully"
"considered";"unkindly"
"cold";"shrewd"
"certain";"confidence"
"fiercely";"silent?'"
"confidence";"suspicions"
"honest";"suspicions"
"bitterness";"honest"
"bold";"informed"
"cool";"sociable"
"kind";"reflection"
"exact?";"literal"
"certain";"exact"
"moral";"timidity"
"deep";"incautious"
"deep";"wild"
"incautious";"wild"
"carefully";"live"
"carefully";"quiet"
"live";"quiet"
"deeply";"profoundly"
"bright";"quick"
"bright";"silent"
"proud";"quick"
"proud";"silent"
"quick";"silent"
"#-generous";"ungenerous"
"#-understand";"justification"
"mercenary";"thoroughly"
"bright";"indomitable"
"independent";"kind"
"logical";"naturally"
"observant";"timorous"
"careless";"fierce"
"deep";"stormy"
"bright";"determined"
"bright";"steady"
"determined";"steady"
"boyish";"confidence"
"#-confidence";"#-resources"
"affections";"considered"
"emphatic";"passionately"
"intimate";"knowledge"
"anxiously";"lovingly"
"cold";"selfish"
"dull)";"thoughtful'"
"greedy";"sensitive"
"greedy";"straight"
"greedy";"tender"
"sensitive";"straight"
"sensitive";"tender"
"straight";"tender"
"giving";"shallow"
"cavalier";"playfully"
"affectionate";"foolish"
"#-business";"cold"
"briskly";"respectful"
"directions";"warmth"
"particularly";"warming"
"giving";"reflecting"
"expressions";"mutinous"
"certain";"thoughtfully"
"gentleness";"straightened"
"considering";"question"
"considering";"silently"
"question";"silently"
"confidence";"strictly"
"firmness";"respectful"
"bravery";"heroic"
"bravery";"moral"
"heroic";"moral"
"companionship";"lives"
"companionship";"thoughtfully"
"lives";"thoughtfully"
"business";"particular"
"business";"expression"
"companion";"helpful"
"authority";"gracious"
"emphatic";"expressive"
"companions";"considerable"
"giving";"smartly"
"companions";"just"
"patient";"perseverance"
"inexplicable";"naturally"
"deeply";"gentleman"
"expressing";"patient"
"agreeable";"anticipations"
"agreeable";"forward"
"agreeable";"particularly"
"anticipations";"forward"
"anticipations";"particularly"
"forward";"particularly"
"economically";"tastefully"
"elegantly";"graceful"
"bold";"brisk"
"contented";"silently"
"#-business";"gentleman"
"calculated";"cheerful"
"calculated";"persisted"
"cheerful";"persisted"
"contrary'";"meekly"
"gentleman";"obliging"
"gentleman";"understand'"
"obliging";"understand'"
"confused";"merry"
"genial";"passionately"
"genial";"patient"
"genial";"sympathetic"
"genial";"tenderly"
"passionately";"patient"
"passionately";"sympathetic"
"passionately";"tenderly"
"patient";"sympathetic"
"patient";"tenderly"
"sympathetic";"tenderly"
"capricious";"suspicious"
"capricious";"tyrannical"
"suspicious";"tyrannical"
"compliment";"vain?'"
"live";"pleasure"
"inconsistent";"question"
"inconsistent";"sternly"
"question";"sternly"
"foolishly";"natural"
"naturally";"penetration"
"naturally";"pleasure)"
"naturally";"proud"
"penetration";"pleasure)"
"penetration";"proud"
"pleasure)";"proud"
"complained";"impetuous"
"faithfully";"reflecting"
"independent";"shrewdness"
"affectionate";"cunning"
"affectionate";"morally"
"cunning";"morally"
"considered";"friendly"
"considered";"progress"
"friendly";"progress"
"bitterly";"literary"
"hospitable";"kind"
"capable";"patient"
"gentlemen";"literary"
"cold";"consolatory"
"cold";"slyly"
"cold";"warming"
"consolatory";"slyly"
"consolatory";"warming"
"slyly";"warming"
"lived";"miserly"
"childish";"question"
"possession";"question"
"deliberately";"kindled"
"intellectual";"unconscious"
"accomplished";"leisurely"
"moody";"suspiciously"
"expressive";"question"
"bluntly";"certain"
"observantly";"playfully"
"observantly";"thoughtfully"
"playfully";"thoughtfully"
"certain";"literary"
"blandly";"buoyantly"
