"faithful";"humble"
"gentle";"intimate"
"certain";"ingenuous"
"certain";"simple"
"ingenuous";"simple"
"hearty";"sincere"
"certain";"eager"
"certain";"earnest"
"eager";"earnest"
"#-eager";"contented"
"assured";"indulgent"
"affectionate";"dutiful"
"affectionate";"unpolished"
"dutiful";"unpolished"
"agreeable";"ambitious"
"agreeable";"amiable"
"ambitious";"amiable"
"ignorant";"inexperienced"
"ill-tempered";"proud"
"bold";"impertinent"
"cold";"warm"
"humble";"ignorant"
"malevolent";"violent"
"heedless";"productive"
"cool";"quiet"
"animated";"lifeless"
"accomplished";"proper"
"guileless";"ingenuous"
"guileless";"intricate"
"guileless";"prudent"
"guileless";"unprincipled"
"ingenuous";"intricate"
"ingenuous";"prudent"
"ingenuous";"unprincipled"
"intricate";"prudent"
"intricate";"unprincipled"
"prudent";"unprincipled"
"ignorant";"obstinate"
"peaceful";"quiet"
"humble";"proper"
"illiterate";"intense"
"dull";"eager"
"deep";"profound"
"deep";"quick"
"awkward";"foolish"
"pert";"smart"
"agreeable";"pleasant"
"passionate";"silent"
"aloof";"envious"
"#-eager";"awkward"
"deep";"irresolute"
"irresolute";"quick"
"inelegant";"showy"
"inward";"quiet"
"particular";"proud"
"particular";"serious"
"proud";"serious"
"humble";"profound"
"dull";"languid"
"insolent";"loud"
"civil";"proud"
"anxious";"ignorant"
"modest";"vain"
"quiet";"serene"
"contented";"quiet"
"abrupt";"serious"
"amiable";"feminine"
"amiable";"gentle"
"feminine";"gentle"
"capricious";"strict"
"affectionate";"distant"
"affectionate";"silent"
"distant";"silent"
"creative";"vivid"
"cruel";"restless"
"cold";"particular"
"cheerful";"modest"
"cruel";"vain"
"silent";"unaffected"
"foolish";"imprudent"
"dependent";"natural"
"aloof";"bold"
"abusive";"sulky"
