"loyalty";"presumptive"
"amiable";"indifference"
"amiable";"indulgence"
"indifference";"indulgence"
"authority";"conceited"
"considered";"unsolicitous"
"awkward";"proper"
"disrespectfully";"informed"
"disrespectfully";"kind"
"informed";"kind"
"confidential";"indulgence"
"confidential";"lived"
"indulgence";"lived"
"benevolent";"capable"
"benevolent";"charitable"
"benevolent";"strict"
"capable";"charitable"
"capable";"strict"
"charitable";"strict"
"consideration";"independent"
"consideration";"obliging"
"independent";"obliging"
"gentleman";"honest"
"gentleman";"serious"
"honest";"serious"
"gentle";"knowledge"
"considered";"prejudice"
"complaisance";"observances"
"companion";"intimates"
"business";"knowledge"
"gentlemen";"sarcastically--"
"cold";"suspicious"
"certainly";"hearty"
"gentleman";"lived"
"just";"understanding"
"anxious";"dependence!"
"confidence";"warmth"
"prudent";"unbending"
"calculated";"reasonably"
"confidence";"justified"
"learned";"natural"
"anticipated";"awkwardness"
"anticipated";"particular"
"awkwardness";"particular"
"hardened";"imprudence"
"#-resources";"considerable"
"gentlemen";"originals"
"accomplishments";"merry"
"agreeable";"complaints"
"agreeable";"confidence"
"complaints";"confidence"
"affection";"companion"
"affection";"confidence"
"affection";"constant"
"companion";"confidence"
"companion";"constant"
"confidence";"constant"
"indifference";"pleasure"
"approach";"coarseness"
"approach";"distrust"
"coarseness";"distrust"
"#-anxious";"certainty"
"gloomy";"merry"
"agreeable";"individual"
"agreeable";"information"
"agreeable";"just"
"agreeable";"vague"
"individual";"information"
"individual";"just"
"individual";"vague"
"information";"just"
"information";"vague"
"just";"vague"
"just";"pleasant"
"bold";"directly"
"directions";"understand"
"giving";"independence"
"#-shyness";"agreeable"
"deep";"silent"
"bright";"proud"
"bright";"seriously"
"proud";"seriously"
"conversation";"kindly"
"just";"natural"
"deep";"graceful"
"patronize";"vain--which"
"gentleman";"rational"
"complaints";"lived"
"amiable";"considerable"
"critical";"unguarded"
"gentle";"lively"
"directly";"pleasure"
"conversation";"forward"
"conversation";"kindness"
"conversation";"particulars"
"conversation";"patient"
"conversation";"studiously"
"forward";"kindness"
"forward";"particulars"
"forward";"patient"
"forward";"studiously"
"kindness";"particulars"
"kindness";"patient"
"kindness";"studiously"
"particulars";"patient"
"particulars";"studiously"
"patient";"studiously"
"jealousies";"opportunity"
"considered";"wise"
"constant";"dependence"
"constant";"lived"
"dependence";"lived"
"cordial";"vain"
"exactly";"pleasure"
"certainly";"forward"
"considerable";"despondence"
"considerable";"poetical"
"despondence";"poetical"
"dutiful";"question"
"amiable";"firmness"
"serious";"warmth!"
"kindly";"particularly"
"careless";"considering"
"careless";"giving"
"considering";"giving"
"determined";"severe"
"eager";"pleasure"
"considered";"heedless"
"considered";"rationally"
"heedless";"rationally"
"accommodations";"directly"
"accommodations";"unquestionably"
"directly";"unquestionably"
"considering";"hospitable"
"considering";"kindly"
"considering";"pleasant"
"considering";"polished"
"hospitable";"kindly"
"hospitable";"pleasant"
"hospitable";"polished"
"kindly";"pleasant"
"kindly";"polished"
"pleasant";"polished"
"accommodating";"capable"
"live";"warmth"
"lives";"melancholy"
"scrupulous";"strict"
"gentleman";"politely"
"gentleman's";"stable-yard"
"gentleman";"particular"
"slow";"unsatisfactory"
"conversation";"exactly"
"determined";"lifeless!"
"determined";"vain"
"lifeless!";"vain"
"bitterest";"firmly"
"bitterest";"prompted"
"bitterest";"vain"
"firmly";"prompted"
"firmly";"vain"
"prompted";"vain"
"affectionate";"rational"
"directed";"informed"
"cordials";"direction"
"cordials";"possession"
"direction";"possession"
"cheerfully";"severe"
"calm";"reflection"
"cautious";"considering"
"bright";"pensive"
"bright";"silent"
"pensive";"silent"
"humble";"reflections"
"compliments";"silent"
"forward";"straight"
"pleasure";"understand"
"kindness";"particular"
"kindness";"pleasure"
"particular";"pleasure"
"exact";"intelligence"
"dullest";"lived"
"contrary";"fearful"
"cold";"determined"
"determined";"persisted"
"determined";"progress"
"determined";"silent"
"persisted";"progress"
"persisted";"silent"
"progress";"silent"
"anticipating";"anxiously"
"compliments";"deeply"
"proud";"vain"
"carelessly";"disrespectfully"
"certainly";"opportunity"
"gentleman";"intimate"
"gentleman";"material"
"intimate";"material"
"intimate";"particular"
"material";"particular"
"#-penetrated";"certainly"
"#-penetrated";"elegant"
"certainly";"elegant"
"cold";"compliments"
"opportunity";"understand"
"curious";"question"
"curious";"ungenteel"
"question";"ungenteel"
"question";"questioned"
"knowledge";"understanding"
"knowledge";"warm"
"understanding";"warm"
"#-complaisance";"warmly"
"accomplishment";"understanding"
"indifference";"solicitous"
"sentiments";"thoroughly"
"agreeable";"cheerful"
"patient";"submissive"
"patient";"understanding"
"submissive";"understanding"
"just";"particularly"
"intelligent";"shrewd"
"intelligent";"opportunities"
"disdainful";"questions"
"disdainful";"severe"
"questions";"severe"
"agreeable";"understand"
"calculate";"restraints"
"consideration";"serious"
"certainly";"moral"
"discreet";"polished"
"discreet";"rational"
"polished";"rational"
"compliments";"considered"
"compliments";"pleasure"
"compliments";"quicken"
"considered";"pleasure"
"considered";"quicken"
"pleasure";"quicken"
"calmness";"questions"
"contemplation";"earnest"
"certainly";"gentleness"
"perceptible";"simpleton"
"just";"obliging)"
"certainly";"cold"
"certainly";"friendly"
"cold";"friendly"
"coldness";"unalterable"
"anxious";"eagerness"
"anxious";"gentle"
"eagerness";"gentle"
"fearful";"vain"
"active";"thoroughly"
"#-curtains";"exact"
"elegant";"impatient"
"curtsey";"distant"
"curtsey";"just"
"curtsey";"simple"
"distant";"just"
"distant";"simple"
"just";"simple"
"anxious";"kindly"
"amiable";"understanding"
"confused";"quick"
"courteous";"kind"
"generous";"selfish"
"contented";"gallantry"
"just";"tender"
"eagerly";"questioned"
"eagerly";"vain"
"questioned";"vain"
"affected";"pleasure"
"irresolute";"slow"
"jealousy";"quieted?"
"deep";"pleasure"
"silent";"thoughtful"
"cordiality";"giving"
"cordiality";"natural"
"giving";"natural"
"justice";"sentiment"
"calmer";"expressions"
"agreeable";"seriously"
"certainly";"kind"
"certainly";"proper"
"kind";"proper"
"strict";"thoughtless"
"#-opportunity";"#-particular"
"extravagance";"tender"
"just";"knowledge"
"civility";"cold"
"civility";"indifference"
"civility";"stern"
"cold";"indifference"
"cold";"stern"
"indifference";"stern"
"conversations";"indulgence"
"conversations";"natural"
"conversations";"particulars"
"indulgence";"natural"
"indulgence";"particulars"
"natural";"particulars"
"considered";"obtrusiveness"
"affected";"carelessness"
"excessively";"opportunity"
"#-sincere";"insincerity"
"deeper";"destruction"
"deeper";"hypocrite"
"destruction";"hypocrite"
"#-complicate";"selfishness"
"accommodation";"cordiality"
"exactly";"independence"
"communication";"companions"
"communication";"eagerness"
"communication";"forward"
"companions";"eagerness"
"companions";"forward"
"eagerness";"forward"
"affection";"exactly"
"argument";"calm"
"argument";"constant"
"argument";"dependence--\"Surely"
"argument";"rational"
"argument";"understand"
"calm";"constant"
"calm";"dependence--\"Surely"
"calm";"rational"
"calm";"understand"
"constant";"dependence--\"Surely"
"constant";"rational"
"constant";"understand"
"dependence--\"Surely";"rational"
"dependence--\"Surely";"understand"
"rational";"understand"
"kind";"mischievous"
"cool";"warmly"
"kindness";"opportunity"
"calmer";"companions"
"calmer";"eager"
"calmer";"imagination"
"companions";"eager"
"companions";"imagination"
"eager";"imagination"
"courteous";"gracefully"
"acceptance";"polite"
"considering";"deeply"
"business";"gentlemen"
"impatient";"strictest"
"distant";"nervous"
"distant";"quick"
"nervous";"quick"
"live";"quiet"
"exactly";"lived"
"question\"";"quiet"
"argument";"inconstancy"
"capable";"lives"
"distracting";"possession"
"distracting";"quiet"
"possession";"quiet"
"constant";"unconsciously"
"precisely";"sentiments"
"calculations";"intelligence"
"despondency";"forward"
"knowledge";"persuasion"
"corrective";"fearless"
"corrective";"meditation"
"corrective";"serious"
"corrective";"steadfast"
"fearless";"meditation"
"fearless";"serious"
"fearless";"steadfast"
"meditation";"serious"
"meditation";"steadfast"
"serious";"steadfast"
"cheerful";"forbearing"
"reproach";"sentiment"
"cool";"deliberation--"
"#-understand";"justice"
"imprudent";"perseverance"
"graciousness";"warmth"
"consolation";"forward"
"determined";"protection"
"affections";"scheming"
"affections";"cunning"
"lively";"prompt"
"lively";"properly"
"lively";"source"
"prompt";"properly"
"prompt";"source"
"properly";"source"
"determined";"fearless"
"determined";"petty"
"determined";"property"
"fearless";"petty"
"fearless";"property"
"petty";"property"
