"consideration";"lively"
"determined";"hasty"
"determined";"question"
"hasty";"question"
"restrain";"vainly"
"anxious";"patient"
"argument";"quieting"
"polite";"social"
"meekest";"mildest"
"progressing";"slowly"
"certain";"gentleness"
"fierce";"particular"
"frightened";"quiet"
"frightened";"solemn"
"quiet";"solemn"
"bright";"proud"
"constantly";"quickly"
"gentleman";"understanding"
"civilities";"cruel"
"cruel";"selfish"
"angelic";"excessively"
"abstracted";"kind"
"abstracted";"shallow"
"kind";"shallow"
"business?'";"gentleman"
"business?'";"understands"
"gentleman";"understands"
"questions";"silent"
"passive";"solemn"
"accurately";"destruction"
"accurately";"directed"
"accurately";"forward"
"destruction";"directed"
"destruction";"forward"
"directed";"forward"
"carefully";"certain"
"carefully";"curious"
"certain";"curious"
"certainly";"warmest"
"certain";"just"
"confused";"kindly)"
"cold";"dull"
"childish";"dutiful"
"childish";"hypocritical"
"dutiful";"hypocritical"
"#-certain";"actively"
"#-certain";"business"
"actively";"business"
"approach";"kind"
"firmness";"inexperienced"
"contrary";"gentleness"
"curious";"impersonating"
"anxious";"firm"
"anxious";"poised"
"firm";"poised"
"firmness";"solemnly"
"certain";"formal"
"certain";"justice--and"
"certain";"slowly"
"formal";"justice--and"
"formal";"slowly"
"justice--and";"slowly"
"cheerfulness";"vividly"
"communicating";"earnestness"
"conversational--I";"exactly"
"conversational--I";"temperament"
"exactly";"temperament"
"lifeless";"quick"
"bright";"directly"
"merry";"pleasant"
"merry";"questions"
"pleasant";"questions"
"#-pleasant";"gentlemen"
"#-pleasant";"rough-faced"
"gentlemen";"rough-faced"
"authorities";"proper"
"bright";"consider"
"distrustful";"warm"
"consolation";"constructed"
"forwards";"kind"
"forwards";"wild"
"kind";"wild"
"deep";"fiery"
"earnest";"frighten"
"#-considered";"formally"
"bright-eyed";"timid"
"expression";"submissive"
"considered";"kind"
"considered";"severe"
"kind";"severe"
"particular";"unflinching"
"adventures";"disorderly"
"constant";"ignorant"
"condescend";"question"
"condescend";"silent"
"question";"silent"
"justify";"lives"
"correction'";"directly'"
"correction'";"knowledge"
"directly'";"knowledge"
"independence";"warmly)"
"considering";"undutiful--if"
"considering";"unfriendly--or"
"undutiful--if";"unfriendly--or"
"sentiment";"slow"
"reflecting";"slowly"
"serious";"thoughtful"
"careworn";"transparent"
"giving";"slow"
"#-restrain";"expression"
"exactly";"harsh"
"stubborn";"sullen"
"dispassionate";"question"
"dispassionate";"timidly"
"question";"timidly"
"fiercely";"sullen"
"prompt";"respectful"
"exactly";"proud"
"merry-looking";"pleasure"
"cheerful";"kind"
"consolation";"firmness"
"exhibiting";"firmness"
"exhibiting";"pleasure"
"exhibiting";"unamiable"
"firmness";"pleasure"
"firmness";"unamiable"
"pleasure";"unamiable"
"considerate";"kind"
"considerate";"loving"
"kind";"loving"
"anxious";"information"
"capable";"considering"
"brightening";"live"
"boldness";"conversation"
"boldness";"giving"
"conversation";"giving"
"affirmative";"reflecting"
"confidentially";"profound"
"assuredly";"information"
"assuredly";"lucid"
"assuredly";"particularly"
"information";"lucid"
"information";"particularly"
"lucid";"particularly"
"brighter";"curious"
"kindly";"tender-hearted"
"deepest";"forward"
"deepest";"sparkling"
"forward";"sparkling"
"bright";"sunny"
"anticipation";"pleasure"
"affectionate";"determine"
"contemplation";"just"
"contemplation";"philosophically"
"just";"philosophically"
"informed";"profound"
"live";"wiser"
"passionless";"systematic"
"complain";"disregarded"
"complain";"jealous"
"disregarded";"jealous"
"gentleman";"meditative"
"confused";"gentleman"
"eager";"quick"
"certain";"kinds"
"companionship";"learned"
"confidence";"pleasure"
"conversations";"violently"
"lived";"unconsciously"
"knowledge";"timid"
"authority";"gentleman"
"anxious";"approaching"
"informed";"revengeful"
"opportunity";"question"
"intimate";"knowledge"
"cruelly";"determined"
"cruelly";"sensitive"
"determined";"sensitive"
"progress";"vain"
"determined";"hardened"
"certain";"lived"
"considered";"honest"
"defiant";"particularly"
"just";"violently"
"frightened";"warmin"
"straight";"violent"
"gentlemen's";"intelligence"
"business";"unpleasantness"
"cold--until";"knowledge"
"cold--until";"warm"
"knowledge";"warm"
"kind";"particularly"
"cheerful";"companionship"
"cheerful";"graceful"
"companionship";"graceful"
"lived";"question"
"gentleman";"pleasant-looking"
"confident";"firmly"
"brightly";"polished"
"agreeable";"understanding"
"firmly";"giving"
"certainly";"kind"
"questions";"wise"
"certain";"pleasure"
"certain";"simple"
"pleasure";"simple"
"determination";"disorder"
"anxious";"reflections"
"bright";"respectfully"
"pleasure";"selfish"
"natural";"particular"
"agreeable";"quiet"
"curious";"gloomy"
"deliberately";"indefinitely"
"bold-faced";"coolness"
"consider";"gracious"
"considered";"justice"
"affected";"politeness"
"expression";"kind"
"discreetly";"fiery"
"pleasant";"relaxed"
"giving";"selfishness"
"indifferent";"steady"
"#-information";"opportunity"
"cheerful";"silent"
"quietest";"sunny"
"awkward";"inexperienced"
"approached";"distrustful"
"approached";"friendly"
"distrustful";"friendly"
"immovable";"sedate"
"#-dull";"slowly"
"agreeable";"business"
"compliment";"enthusiasm"
"blandly";"certainly!'"
"calculation";"informed"
"slyly";"worldly"
"considering";"curious"
"constraint";"curious"
"complain";"complaining"
"generous";"playfully"
"directly";"instructed"
"approached";"awkward"
"formally";"particulars"
"formally";"protection"
"particulars";"protection"
"confidence";"frightens"
"affection";"frighten"
"active";"deeply"
"accomplished";"philosopher"
"calmly";"complacent"
"calmly";"pleasantest"
"calmly";"quiet"
"complacent";"pleasantest"
"complacent";"quiet"
"pleasantest";"quiet"
"considering";"invariably"
"certainty";"confidential"
"certainty";"frankness"
"certainty";"just"
"certainty";"juvenile"
"certainty";"respectful"
"confidential";"frankness"
"confidential";"just"
"confidential";"juvenile"
"confidential";"respectful"
"frankness";"just"
"frankness";"juvenile"
"frankness";"respectful"
"just";"juvenile"
"just";"respectful"
"juvenile";"respectful"
"#-business";"resources"
"confidence";"genteelly"
"confidence";"particularly"
"confidence";"social"
"genteelly";"particularly"
"genteelly";"social"
"particularly";"social"
"calm";"lives"
"approaches";"pleasantly"
"particular";"question"
"natural";"rational"
"firm";"morally"
"gentle";"pleasant"
"exact";"wary"
"confidential";"earnest"
"confidential";"naturally"
"earnest";"naturally"
"business'";"certain"
"#-demonstrative";"kindnesses"
"#-demonstrative";"particulars"
"kindnesses";"particulars"
"intelligence";"severely"
"intelligence";"silent"
"severely";"silent"
"cruel";"quiet"
"indifferent";"manly"
"complimented";"just"
"assuredly";"distrust"
"gruffness";"vain"
"curious";"educated"
"deepest";"manly"
"negligence";"tasteful"
"negligence";"transparency"
"tasteful";"transparency"
"protection";"spontaneously"
"gentleman";"sensitively"
"bashful";"elegant"
"acceptance";"knowledge"
"earnest";"wild"
"ignorant";"information"
"coldness";"kind"
"certain";"correction"
"certain";"question"
"correction";"question"
"kindness";"lives"
"coarse";"rough"
"frank";"moody"
"constraint";"determined"
"#-compulsion";"competitor'"
"#-compulsion";"pleasure"
"competitor'";"pleasure"
"contemplation";"eagerly"
"abstract";"particularly"
"calm";"cool"
"correcting";"just"
"companionship";"confidence"
"companionship";"exactly"
"companionship";"invariably"
"companionship";"maturer"
"confidence";"exactly"
"confidence";"invariably"
"confidence";"maturer"
"exactly";"invariably"
"exactly";"maturer"
"invariably";"maturer"
"business--I";"elegant"
"companions";"kindly"
"companions";"particular"
"kindly";"particular"
"anxious";"demonstration"
"companionship";"naturally"
"cold";"warm"
"gentle";"pleasure"
"expression";"just"
"expression";"participation"
"just";"participation"
"certain";"constant"
"bold";"shy"
"adventure";"merry"
"adventure";"musical"
"adventure";"pleasant"
"merry";"musical"
"musical";"pleasant"
"despondency";"informed"
"indifferent";"understand"
"considerable";"straight"
"briskly";"understand"
"honest";"indifferent"
"constrained";"timid"
"compliments";"respectfully"
"considerable";"undisturbed"
"pleasant";"principle'"
"directions";"restless"
"observant";"shrewdly"
"rough";"tenderly"
"#-conversation";"silent"
"lazy";"solicitors"
"firmly";"kind"
"firmness";"melancholy"
"construction";"smarter"
"construction";"warming"
"smarter";"warming"
"intellect";"resources"
"conciliating";"loving"
"conciliating";"prime"
"loving";"prime"
"affection";"quiet"
"distant";"inquiring"
"giving";"understand"
"complacency";"hasty"
"accurately";"tight"
"business";"principle"
"haughty";"question"
"argument";"languid"
"argument";"slowly"
"languid";"slowly"
"daring";"live"
"confidently";"firm"
"confidently";"informed"
"firm";"informed"
"confidence";"unreserved"
"companion";"opportunities"
"gracefully";"negative"
"gracefully";"questions"
"negative";"questions"
"progress";"reflections"
"obtrusive";"opportunity"
"decisively";"question"
"defensive";"distant"
"eloquent";"expressions"
"directed";"kindling"
"awkward";"modestly"
"cruel-looking";"slowly"
"slowly";"thoughtfully"
"loving";"reserved"
"directions";"particular"
"affectionately";"just"
"intimated";"pleasure"
"constantly";"informed"
"consider";"considered"
"business?";"considered"
"acquiescence";"knowledge"
"acquiescence";"submissively"
"knowledge";"submissively"
"bright-eyed";"girlish"
"amiable";"polished"
"amiable";"revengeful"
"polished";"revengeful"
"certainly";"fiery"
"disrespectfully";"expressing"
"cold";"exactly"
"cold";"just"
"exactly";"just"
"jealous";"persisted"
"bright";"serious"
"accurate";"knowledge"
"melancholy";"pleasure"
"approaching";"expression"
"approaching";"gentlemen"
"expression";"gentlemen"
"directly";"gentleman"
"certainly";"wise"
"direction";"question"
"sloppy";"untidy"
"informed";"slowly"
"cheerful";"confidence"
"particulars";"selfish"
"discourage";"kind"
"genteel";"tights"
"certain";"presumption"
"consolation";"source"
"bright";"suggestion"
"confidence";"philosophy"
"direction";"perfection)"
"#-particularly";"naturally--which"
"constraint";"mistrusted"
"constraint";"vague"
"mistrusted";"vague"
"exactly";"genteel"
"lived";"understand"
"expression--go";"indifferent"
"expression--go";"sentiments"
"indifferent";"sentiments"
"gentle";"reproached"
"conversation";"rough"
"considering";"thoughtful"
"just";"vain"
"communication";"individual"
"individual";"possession"
"restlessness";"wild"
"quickly--for";"unconscious"
"deeply?'";"moral"
"deeply?'";"serious"
"moral";"serious"
"curious";"directly"
"capable";"expression"
"approach";"confidence"
"amiable";"complacent"
"consider";"quickness"
"business";"consider"
"conversation";"opportunity"
"directed";"solemn"
"foolish";"rough-weather"
"approach";"gentleman--she"
"deepening";"leniently"
"deepening";"solemn"
"leniently";"solemn"
"definite";"polished"
"orderly";"property"
"straight";"visionary"
"hearty'";"kind"
"affectionate";"kind"
"gentleness";"kinds"
"inconsiderate";"natural"
"cruel";"unreflecting"
"earnestness";"reproachful"
"earnestness";"sensitive"
"reproachful";"sensitive"
"#-mistrust";"frankly"
"contemplated";"naturally"
"confidence";"warmth"
"ignorant'";"uneducated"
"friendly";"kindling"
"friendly";"steady"
"friendly";"treacherous"
"friendly";"wild"
"kindling";"steady"
"kindling";"treacherous"
"kindling";"wild"
"steady";"treacherous"
"steady";"wild"
"treacherous";"wild"
"confidence";"systematic"
"intolerant";"proud"
"exactly";"violent"
"considered";"particulars"
"considered";"pleasure"
"particulars";"pleasure"
"distant";"gentleman"
"#-agreeable";"source"
"complicated";"polite"
"gentle";"melancholy"
"#-frightened";"justice"
"#-frightened";"strict"
"justice";"strict"
"mercenary";"original"
"cold";"considered"
"accommodation";"constantly"
"affection";"calm"
"affected";"conversation"
"construction";"discouraging"
"peacefully";"quiet"
"calm";"gentle"
"calm";"peaceful"
"gentle";"peaceful"
"exacting";"irritable"
"exacting";"naturally"
"irritable";"naturally"
"confidence";"honest"
"conversation";"liveliest"
"conversation";"property"
"liveliest";"property"
"slowly";"vainly"
"pleasure";"property"
"affectionately";"expressions"
"curtseyed";"forward"
"curtseyed";"gracious"
"forward";"gracious"
"affirmative";"hasty"
"boldly";"frighten"
"intelligence";"possession"
"principles";"warmed"
"quiet";"warm"
"pleasure";"simpleton!'"
"pleasure";"warm"
"simpleton!'";"warm"
"earnestness'";"faithful"
"affection";"kindnesses"
"affection";"tender"
"kindnesses";"tender"
"selfishly";"unselfishly"
"impatient";"restlessly"
"considered";"expressions"
"certain";"property"
