"cold";"fiery"
"deep";"solemn"
"artistic";"original"
"amiable";"musical"
"dull";"wise"
"fierce";"firm"
"fierce";"rigid"
"firm";"rigid"
"anxious";"sympathetic"
"earthy";"silent"
"agreeable";"despondent"
"certain";"foolish"
"certain";"ignorant"
"foolish";"ignorant"
"bright";"gracious"
"devilish";"impudent"
"conventional";"self-sufficient"
"bitter";"cold"
"friendly";"nervous"
"anxious";"superficial"
"quick";"submissive"
"quick";"sullen"
"fiery";"good-natured"
"childish";"wild"
"expressive";"shy"
"hasty";"quick"
"dull";"unchanging"
"orderly";"pleasant"
"heedless";"sparkling"
"accurate";"definite"
"bright";"distant"
"confident";"curious"
"humorous";"pleasant"
"deep";"studious"
"feminine";"masculine"
"confident";"corrective"
"orderly";"punctual"
"brisk";"cold"
"passionate";"violent"
"envious";"frank"
"envious";"good-natured"
"envious";"prejudiced"
"frank";"good-natured"
"frank";"prejudiced"
"good-natured";"prejudiced"
"light-hearted";"unsuspicious"
"solemn";"strict"
"confused";"earnest"
"certain";"natural"
"affectionate";"capricious"
"affectionate";"self-denying"
"capricious";"self-denying"
"exact";"impulsive"
"exact";"precise"
"exact";"steady"
"impulsive";"precise"
"impulsive";"steady"
"precise";"steady"
"childish";"sympathetic"
"active";"sincere"
"active";"passive"
"capricious";"cruel"
"brisk";"lively"
"careful";"venturesome"
"merry";"whimsical"
"benevolent";"sportsmanlike"
"cool";"modest"
"courtly";"worshipful"
"hasty";"honest"
"combative";"loyal"
"chivalrous";"respectful"
"contented";"natural"
"affectionate";"thoughtful"
"appreciative";"friendly"
"moral";"warm"
"certain";"reasonable"
"matter-of-fact";"sparkling"
"demonstrative";"obtrusive"
"judicious";"vivacious"
"generous";"particular"
"accurate";"moral"
"distant";"genteel"
"indulgent";"wise"
"brisk";"tame"
"curious";"moral"
"passionate";"spirited"
