"emphatic";"negative"
"bright";"cold"
"bright";"placid"
"cold";"placid"
"cold";"saintly"
"direct";"forcible"
"harsh";"loud"
"dull";"silent"
"confused";"slow"
"capable";"cold"
"capable";"restless"
"cold";"restless"
"industrious";"orderly"
"business-like";"natural"
"active";"certain"
"rough";"stormy"
"coarse";"particular"
"certain";"sunny"
"ingenious";"moderate"
"pleasant";"wild"
"foolish";"solemn"
"fierce";"narrow"
"bright";"quick"
"passionate";"wild"
"cruel";"graceful"
"cruel";"straight"
"graceful";"straight"
"despondent";"gentle"
"intelligible";"poetical"
"intelligible";"sensitive"
"poetical";"sensitive"
"animated";"irresolute"
"animated";"purposeless"
"irresolute";"purposeless"
"quiet";"sincere"
"disorderly";"original"
"devoutest";"honest"
"gentle";"superstitious"
"fearful";"inconsistent"
"adventurous";"inquisitive"
"curious";"heedless"
"curious";"sunny"
"heedless";"sunny"
"natural";"purposeless"
"loving";"peaceful"
"active";"cheerful"
"curious";"simple"
"natural";"pleasant"
"demonstrative";"friendly"
"energetic";"studious"
"cruel";"harsh"
"gloomy";"peevish"
"deep";"fierce"
"gloomy";"rugged"
"animated";"cruel"
"fierce";"vivid"
"chivalrous";"individual"
"chivalrous";"polite"
"individual";"polite"
"dull";"indifferent"
"rough";"timid"
"individual";"serious"
"cold";"courageous"
"cold";"honest"
"courageous";"honest"
"bold";"cool"
"confident";"persistent"
"confident";"steady"
"persistent";"steady"
"confident";"deep"
"deep";"steady"
"bright";"gentle"
"bright";"stalwart"
"gentle";"stalwart"
"faithful";"straightforward"
"gracious";"knavish"
"gregarious";"wary"
"loud";"original"
"affectionate";"loving"
"honest";"questionable"
"bright";"wild"
"calm";"distant"
"calm";"solemn"
"distant";"solemn"
"calm";"steady"
"certain";"congenial"
"merciful";"silent"
"fearful";"severe"
"fervent";"quick"
"appreciative";"moral"
"fearless";"shrewd"
"certain";"coarse"
"tight";"vain"
"tight";"vigorous"
"vain";"vigorous"
"heedful";"silent"
