"richard::considerable";"richard::independence"
"catherine::awkward";"george::awkward"
"catherine::awkward";"harriet::awkward"
"catherine::awkward";"james::awkward"
"catherine::awkward";"mrs_morland::awkward"
"catherine::awkward";"richard::awkward"
"catherine::awkward";"richie::awkward"
"catherine::awkward";"sarah::awkward"
"george::awkward";"harriet::awkward"
"george::awkward";"james::awkward"
"george::awkward";"mrs_morland::awkward"
"george::awkward";"richard::awkward"
"george::awkward";"richie::awkward"
"george::awkward";"sarah::awkward"
"harriet::awkward";"james::awkward"
"harriet::awkward";"mrs_morland::awkward"
"harriet::awkward";"richard::awkward"
"harriet::awkward";"richie::awkward"
"harriet::awkward";"sarah::awkward"
"james::awkward";"mrs_morland::awkward"
"james::awkward";"richard::awkward"
"james::awkward";"richie::awkward"
"james::awkward";"sarah::awkward"
"mrs_morland::awkward";"richard::awkward"
"mrs_morland::awkward";"richie::awkward"
"mrs_morland::awkward";"sarah::awkward"
"richard::awkward";"richie::awkward"
"richard::awkward";"sarah::awkward"
"richie::awkward";"sarah::awkward"
"catherine::heroic";"george::heroic"
"catherine::heroic";"harriet::heroic"
"catherine::heroic";"james::heroic"
"catherine::heroic";"mrs_morland::heroic"
"catherine::heroic";"richard::heroic"
"catherine::heroic";"richie::heroic"
"catherine::heroic";"sarah::heroic"
"george::heroic";"harriet::heroic"
"george::heroic";"james::heroic"
"george::heroic";"mrs_morland::heroic"
"george::heroic";"richard::heroic"
"george::heroic";"richie::heroic"
"george::heroic";"sarah::heroic"
"harriet::heroic";"james::heroic"
"harriet::heroic";"mrs_morland::heroic"
"harriet::heroic";"richard::heroic"
"harriet::heroic";"richie::heroic"
"harriet::heroic";"sarah::heroic"
"james::heroic";"mrs_morland::heroic"
"james::heroic";"richard::heroic"
"james::heroic";"richie::heroic"
"james::heroic";"sarah::heroic"
"mrs_morland::heroic";"richard::heroic"
"mrs_morland::heroic";"richie::heroic"
"mrs_morland::heroic";"sarah::heroic"
"richard::heroic";"richie::heroic"
"richard::heroic";"sarah::heroic"
"richie::heroic";"sarah::heroic"
"catherine::pleasure";"george::pleasure"
"catherine::pleasure";"harriet::pleasure"
"catherine::pleasure";"james::pleasure"
"catherine::pleasure";"mrs_morland::pleasure"
"catherine::pleasure";"richard::pleasure"
"catherine::pleasure";"richie::pleasure"
"catherine::pleasure";"sarah::pleasure"
"george::pleasure";"harriet::pleasure"
"george::pleasure";"james::pleasure"
"george::pleasure";"mrs_morland::pleasure"
"george::pleasure";"richard::pleasure"
"george::pleasure";"richie::pleasure"
