"#-embarrassed";"famous"
"little";"old"
"little";"ordinary"
"little";"pleasant"
"old";"ordinary"
"old";"pleasant"
"ordinary";"pleasant"
"great";"kind"
"great";"short"
"great";"well"
"kind";"short"
"kind";"well"
"short";"well"
"calm";"cheerful"
"calm";"little"
"calm";"pleasant"
"calm";"rough"
"calm";"terrible"
"calm";"well"
"cheerful";"little"
"cheerful";"pleasant"
"cheerful";"rough"
"cheerful";"terrible"
"cheerful";"well"
"little";"rough"
"little";"terrible"
"little";"well"
"pleasant";"rough"
"pleasant";"terrible"
"pleasant";"well"
"rough";"terrible"
"rough";"well"
"terrible";"well"
"#-troubled";"serious"
"#-troubled";"young"
"serious";"young"
"good";"strong"
"little";"young"
"great";"little"
"good";"great"
"good";"well"
"great";"happy"
"ashamed";"irrational"
"honest";"strict"
"competent";"short"
"competent";"successful"
"short";"successful"
"proper";"young"
"fair";"young"
"forward";"giving"
"forward";"thinking"
"giving";"thinking"
"faithful";"great"
"fair";"little"
"little";"pretty"
"great";"strange"
"prosperous";"rich"
"little";"surprised"
"fair";"foolish"
"fair";"good"
"fair";"happy"
"fair";"plain"
"fair";"quiet"
"foolish";"good"
"foolish";"happy"
"foolish";"plain"
"foolish";"quiet"
"good";"happy"
"good";"plain"
"good";"quiet"
"happy";"plain"
"happy";"quiet"
"plain";"quiet"
"forward";"great"
"helpless";"little"
"great";"hard"
"reasonable";"strong"
"little";"strong"
"strong";"well"
"hard";"little"
"good";"little"
"little";"secure"
"little";"useful"
"surprised";"useful"
"employed";"kind"
"employed";"short"
"secure";"short"
"good";"useful"
"good";"pretty"
"#-well";"surprised"
"kind";"proper"
"little";"strange"
"firm";"great"
"firm";"terrible"
"great";"terrible"
"religious";"serious"
"afraid";"violent"
"open";"surprised"
"bad";"cold"
"bad";"violent"
"cold";"violent"
"forward";"terrible"
"confused";"great"
"forward";"good"
"employed";"little"
"#-pleasant";"cool"
"kind";"old"
"kind";"strange"
"kind";"young"
"old";"strange"
"old";"young"
"strange";"young"
"fine";"mean"
"fine";"open"
"fine";"sweet"
"open";"sweet"
"thinking";"well"
"encouraging";"happy"
"encouraging";"pleased"
"happy";"pleased"
"hard";"strong"
"awkward";"hard"
"awkward";"well"
"hard";"well"
"hard";"pretty"
"forward";"pretty"
"foolish";"pleased"
"religious";"well"
"employed";"extraordinary"
"big";"proper"
"little";"mean"
"furious";"strong"
"calm";"great"
"calm";"ignorant"
"great";"ignorant"
"#-thinking";"clumsy"
"#-thinking";"firm"
"#-thinking";"hard"
"#-thinking";"joyful"
"clumsy";"firm"
"clumsy";"hard"
"clumsy";"joyful"
"firm";"hard"
"firm";"joyful"
"hard";"joyful"
"good";"sweet"
"great";"proper"
"old";"short"
"kind";"little"
"curious";"great"
"curious";"little"
"evil";"forward"
"casual";"pleasant"
"good";"young"
"great";"serious"
"great";"thinking"
"serious";"thinking"
"direct";"strange"
"encouraging";"forward"
"encouraging";"little"
"encouraging";"old"
"encouraging";"well"
"forward";"little"
"forward";"old"
"forward";"well"
"old";"well"
"agreeable";"kind"
"alone";"evil"
"bitter";"evil"
"great";"thankful"
"firm";"short"
"great";"tired"
"#-careful";"eager"
"great";"poor"
"agreeable";"bright"
"bright";"kind"
"angry";"great"
"awkward";"little"
"good";"pleased"
"great";"pleased"
"glad";"well"
"poor";"well"
"old";"religious"
"religious";"young"
"comfortable";"great"
"comfortable";"open"
"comfortable";"poor"
"comfortable";"thankful"
"great";"open"
"open";"poor"
"open";"thankful"
"poor";"thankful"
"private";"serious"
"private";"well"
"serious";"well"
"delighted";"good"
"delighted";"useful"
"honest";"poor"
"honest";"innocent"
"familiar";"little"
"poor";"scared"
"offensive";"open"
"certain";"hard"
"direct";"hard"
"#-caring";"great"
"good";"kind"
"anxious";"good"
"anxious";"little"
"fair";"honest"
"fair";"religious"
"fair";"rich"
"fair";"wealthy"
"honest";"quiet"
"honest";"religious"
"honest";"rich"
"honest";"wealthy"
"quiet";"religious"
"quiet";"rich"
"quiet";"wealthy"
"religious";"rich"
"religious";"wealthy"
"rich";"wealthy"
"great";"old"
"pleased";"secure"
"fine";"giving"
"honest";"old"
"old";"poor"
"faithful";"old"
"faithful";"poor"
"#-kind";"good"
"giving";"old"
"kind";"satisfied"
"dangerous";"plain"
"great";"plain"
"little";"plain"
"forward";"hard"
"forward";"rough"
"good";"hard"
"good";"rough"
"hard";"rough"
"furious";"well"
"good";"old"
"good";"private"
