"#-satisfied";"angry"
"active";"disabled"
"active";"eager"
"active";"good"
"disabled";"eager"
"disabled";"good"
"eager";"good"
"fine";"old"
"great";"poor"
"old";"poor"
"consistent";"great"
"capable";"little"
"poor";"warm"
"glad";"poor"
"good";"sensible"
"awkward";"shy"
"awkward";"sweet"
"shy";"sweet"
"fine";"handsome"
"good";"little"
"little";"sensible"
"great";"surprised"
"good";"happy"
"happy";"little"
"afraid";"little"
"good-natured";"useful"
"fair";"kind"
"fair";"young"
"kind";"young"
"ashamed";"old"
"poor";"wonderful"
"great";"stupid"
"important";"little"
"great";"little"
"old";"sensible"
"clever";"good"
"great";"natural"
"helpless";"poor"
"dangerous";"difficult"
"excellent";"little"
"evil";"sad"
"poor";"young"
"difficult";"short"
"difficult";"young"
"short";"young"
"proper";"young"
"agreeable";"young"
"#-good";"warm-hearted"
"#-handsome";"plain"
"good";"plain"
"pleasant";"young"
"agreeable";"pleasant"
"agreeable";"quiet"
"pleasant";"quiet"
"great";"sad"
"great";"young"
"poor";"sad"
"sad";"young"
"good";"respectable"
"fine";"good"
"natural";"young"
"professional";"useful"
"attractive";"great"
"little";"lively"
"little";"rich"
"little";"young"
"lively";"rich"
"lively";"young"
"rich";"young"
"agreeable";"good"
"natural";"useful"
"bad";"beautiful"
"bad";"delightful"
"bad";"good"
"bad";"pleasant"
"beautiful";"delightful"
"beautiful";"good"
"beautiful";"pleasant"
"delightful";"good"
"delightful";"pleasant"
"good";"pleasant"
"good";"strong"
"pleased";"young"
"expressive";"little"
"charming";"fine"
"glad";"great"
"glad";"old"
"great";"old"
"good";"great"
"good";"poor"
"old";"ridiculous"
"excellent";"great"
"good";"lonely"
"great";"lonely"
"busy";"happy"
"busy";"open"
"happy";"open"
"busy";"good"
"busy";"little"
"bad";"great"
"strong";"young"
"little";"weak"
"excellent";"good"
"amusing";"anxious"
"great";"independent"
"certain";"proper"
"#-afraid";"angry"
"#-afraid";"disgusting"
"angry";"disgusting"
"agreeable";"great"
"private";"young"
"little";"warm"
"bad";"young"
"jealous";"private"
"impatient";"unemployed"
"artificial";"great"
"bright";"surprised"
"fair";"little"
"anxious";"delighted"
"fair";"old"
"good";"useful"
"good";"young"
"great";"useful"
"useful";"young"
"ridiculous";"young"
"fair";"good"
"ashamed";"little"
"innocent";"young"
"fortunate";"young"
"kind";"pleasant"
"great";"rich"
"great";"serious"
"rich";"serious"
"desirable";"thoughtful"
"certain";"little"
"agreeable";"delightful"
"awful";"great"
"open";"short"
"good";"lovely"
"happy";"selfish"
"careless";"young"
"anxious";"intellectual"
"old";"respectable"
"happy";"poor"
"happy";"smart"
"poor";"smart"
"amusing";"young"
"inexperienced";"rich"
"inexperienced";"young"
"important";"serious"
"natural";"reasonable"
"evil";"thorough"
"#-ashamed";"afraid"
"calm";"glad"
"noisy";"quiet"
"independent";"young"
"little";"stupid"
"fair";"impatient"
"glad";"happy"
"glad";"little"
"good";"serious"
"calm";"strange"
"cool";"little"
"cool";"young"
"negative";"surprised"
"independent";"little"
"good";"nervous"
"great";"nervous"
"determined";"expressive"
"gentle";"modest"
"poor";"short"
"anxious";"sweet"
"little";"satisfied"
"little";"warm-hearted"
"satisfied";"warm-hearted"
"agreeable";"familiar"
"evil";"strong"
"happy";"sympathetic"
"certain";"thorough"
"nice";"young"
"ashamed";"delighted"
"excellent";"powerful"
"little";"unreasonable"
"poor";"strong"
"fine";"glad"
"little";"natural"
"anxious";"cold"
"anxious";"sad"
"cold";"sad"
"great";"open"
"ordinary";"young"
"open";"sensible"
"hard";"little"
"good";"old"
"devoted";"little"
"sweet";"young"
"little";"old"
"#-wonderful";"natural"
"blind";"evil"
"capable";"good"
"good";"proper"
"busy";"useful"
"awkward";"strange"
"happy";"satisfied"
"happy";"worthy"
"happy";"young"
"satisfied";"worthy"
"satisfied";"young"
"worthy";"young"
"excellent";"fair"
"agreeable";"attentive"
"agreeable";"gentle"
"agreeable";"kind"
"agreeable";"proper"
"attentive";"gentle"
"attentive";"kind"
"attentive";"proper"
"gentle";"kind"
"gentle";"proper"
"kind";"proper"
"natural";"nice"
"handsome";"little"
"fine";"little"
"clever";"honest"
"little";"pretty"
"anxious";"consistent"
"bad";"lively"
"ambitious";"unhappy"
"short";"unlucky"
"little";"poor"
"cruel";"terrible"
"bad";"poor"
"joyful";"terrible"
"eager";"expressive"
"glad";"good"
"great";"short"
"little";"private"
"familiar";"strong"
"delightful";"great"
