"terms";"clusters"
"#-agreeable";45
"#-alone";91
"#-angry";91
"#-lonely";102
"#-open";34
"#-satisfied";50
"#-strong";96
"#-well";92
"active";50
"admirable";74
"affectionate";2
"afraid";43
"aggravating";58
"agreeable";55
"alone";136
"amazing";18
"angry";36
"anxious";137
"appreciative";35
"argumentative";53
"artificial";54
"ashamed";73
"athletic";113
"attentive";61
"attractive";110
"awake";114
"awful";37
"awkward";132
"bad";40
"bashful";11
"beautiful";136
"big";134
"bitter";36
"blind";83
"bold";125
"brave";46
"bright";43
"brilliant";106
"busy";118
"calm";15
"capable";41
"careful";41
"careless";79
"cautious";50
"certain";52
"charming";82
"cheap";32
"cheerful";57
"childish";72
"clean";21
"clever";127
"clumsy";86
"cold";43
"comfortable";21
"comical";80
"compassionate";62
"competent";16
"competitive";91
"complicated";103
"concerned";96
"confident";34
"confused";66
"conscientious";116
"considerate";45
"consistent";2
"cool";93
"crazy";38
"critical";23
"cruel";48
"curious";98
"dangerous";119
"decent";123
"delighted";131
"delightful";82
"dependent";82
"depressed";35
"desirable";127
"determined";118
"devoted";38
"difficult";90
"direct";125
"disabled";23
"disappointed";126
"disrespectful";34
"distinguished";19
"disturbed";11
"dominant";46
"dumb";60
"eager";130
"efficient";80
"elderly";33
"emotional";109
"encouraging";110
"energetic";89
"enthusiastic";100
"evil";135
"excellent";82
"exceptional";8
"excited";82
"exhausted";71
"expressive";20
"extraordinary";21
"fair";129
"faithful";30
"familiar";24
"famous";104
"fat";48
"feminine";59
"fine";137
"firm";30
"foolish";126
"forgetful";54
"fortunate";65
"friendly";68
"furious";122
"generous";82
"gentle";57
"genuine";23
"gifted";59
"glad";111
"gorgeous";59
"graceful";3
"gracious";78
"grateful";85
"greedy";121
"handsome";81
"happy";55
"hard";64
"helpful";123
"helpless";42
"honest";55
"hopeful";106
"ignorant";51
"impatient";129
"important";104
"impressive";27
"independent";70
"influential";28
"innocent";14
"insane";8
"insulting";31
"intellectual";26
"intelligent";114
"interested";39
"interesting";119
"involved";67
"irresponsible";80
"irritating";110
"jealous";93
"kind";78
"lazy";116
"liberal";61
"lively";131
"logical";44
"lonely";120
"lonesome";105
"loud";10
"lovely";104
"lucky";72
"mean";66
"modest";42
"moody";18
"motherly";33
"muscular";104
"natural";88
"neat";108
"negative";71
"nervous";86
"nice";69
"noisy";127
"normal";12
"obnoxious";59
"observant";127
"offensive";47
"open";124
"ordinary";46
"original";49
"passionate";5
"pathetic";32
"patient";93
"peaceful";121
"persistent";18
"persuasive";16
"plain";77
"playful";59
"pleasant";88
"pleased";1
"polite";51
"poor";124
"popular";13
"positive";97
"powerful";120
"practical";132
"preoccupied";94
"presentable";96
"pretty";136
"private";25
"professional";9
"prominent";39
"proper";115
"prosperous";4
"proud";90
"punctual";3
"quiet";95
"reasonable";132
"rebellious";84
"reckless";13
"reliable";63
"religious";7
"remarkable";85
"respectable";102
"respected";63
"respectful";76
"responsible";119
"rich";25
"ridiculous";68
"romantic";106
"rough";106
"rude";13
"sad";33
"sarcastic";6
"satisfied";22
"scared";103
"secure";112
"sensible";120
"sensitive";130
"serious";98
"shallow";67
"short";40
"shy";7
"sincere";92
"sleepy";97
"slender";84
"smart";31
"social";2
"spontaneous";8
"stable";15
"strange";64
"strict";133
"strong";95
"stupid";29
"successful";117
"surprised";25
"suspicious";14
"sweet";56
"sympathetic";28
"talkative";112
"tall";126
"terrible";29
"thankful";93
"thin";107
"thoughtful";108
"tired";29
"tough";7
"troubled";65
"uncomfortable";57
"unfair";75
"unfaithful";87
"unhappy";60
"unreasonable";133
"unusual";97
"useful";15
"valuable";99
"violent";101
"warm";118
"weak";1
"weird";130
"well";123
"wise";89
"wonderful";81
"worthy";128
"skilled";100
"terrific";113
"unlucky";8
"sociable";34
"youthful";17
"unemployed";32
