"accustomed" "afraid" "beautiful" "best" "calm" "careful" "cheerful" "clean" "clever" "comfortable" "curious" "delicate" "different" "extraordinary" "fair" "faithful" "familiar" "free" "gentle" "genuine" "greatest" "happy" "honest" "humble" "mighty" "natural" "neat" "official" "peaceful" "pleasant" "powerful" "professional" "proud" "quiet" "rich" "safe" "smart" "special" "strong" "top" "weak" "wise" "worth"
"curious" 0 4 2 4 0 1 2 1 2 1 0 1 1 2 0 0 1 2 1 2 0 1 2 0 0 1 1 1 0 1 2 2 0 2 1 1 0 1 4 0 0 1 0
"delicate" 1 2 4 2 0 0 0 2 1 0 1 0 0 1 2 2 3 1 2 1 0 2 2 0 1 1 2 0 0 4 2 1 1 2 1 0 1 0 5 0 1 0 0
"different" 0 2 1 3 1 1 1 0 1 0 1 0 0 0 0 0 0 1 2 1 1 4 0 0 0 1 1 0 0 1 2 0 2 4 1 2 1 0 0 0 1 1 0
"extraordinary" 0 1 2 3 1 1 1 1 0 3 2 1 0 0 2 0 0 2 1 1 0 3 1 1 0 1 2 1 1 0 1 0 0 2 0 0 0 0 3 0 1 2 1
"fair" 0 0 1 2 0 1 0 0 0 0 0 2 0 2 0 2 1 3 3 0 0 2 1 1 1 1 0 1 0 1 1 1 1 1 0 0 0 1 1 0 0 1 0
"faithful" 0 0 1 3 0 1 0 0 0 0 0 2 0 0 2 0 1 4 2 0 0 1 1 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0
"familiar" 0 2 1 1 0 0 0 0 0 0 1 3 0 0 1 1 0 0 1 1 0 1 3 0 1 0 1 0 0 1 1 0 0 2 1 0 0 0 3 0 1 0 0
"free" 0 2 1 7 0 3 0 0 0 1 2 1 1 2 3 4 0 0 2 0 1 4 1 2 1 1 1 0 0 1 1 0 2 3 0 4 0 1 3 0 1 0 2
"gentle" 0 3 6 5 3 2 2 4 1 2 1 2 2 1 3 2 1 2 0 0 0 10 1 2 0 2 3 0 1 6 0 1 4 5 2 2 1 3 6 0 5 1 1
"genuine" 0 0 0 1 0 0 1 0 0 0 2 1 1 1 0 0 1 0 0 0 0 1 1 0 1 0 0 2 0 0 1 0 0 2 0 0 0 0 1 0 0 1 0
"greatest" 0 0 1 4 0 1 0 0 2 1 0 0 1 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 1 0 0 1 0 1 1 1 0 2 2 0 0 0
"happy" 0 3 9 6 4 2 7 3 2 2 1 2 4 3 2 1 1 4 10 1 1 0 2 2 4 1 5 1 4 4 1 0 3 9 3 3 2 1 12 0 6 2 2
"honest" 0 3 1 5 1 2 3 0 1 1 2 2 0 1 1 1 3 1 1 1 2 2 0 0 0 0 0 0 1 1 1 0 1 2 0 1 0 0 3 1 1 0 0
"humble" 0 0 1 1 0 1 0 1 0 0 0 0 0 1 1 0 0 2 2 0 0 2 0 0 1 0 1 1 2 2 1 0 1 0 1 0 0 1 0 1 0 0 1
"mighty" 0 1 1 1 0 0 1 0 1 0 0 1 0 0 1 0 1 1 0 1 0 4 0 1 0 0 1 2 0 1 0 0 0 2 1 0 0 0 2 1 0 0 0
"natural" 0 3 0 2 0 1 0 1 2 0 1 1 1 1 1 0 0 1 2 0 0 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 2 0 1 1 0
"neat" 0 1 3 0 1 1 0 3 1 1 1 2 1 2 0 0 1 1 3 0 0 5 0 1 1 2 0 0 2 2 0 0 0 3 1 0 1 0 2 0 3 1 1
"official" 0 0 0 3 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 2 0 1 0 1 2 0 0 0 0 1 0 1 0 1 0 0 0 1 1 1 0 2 0
"peaceful" 0 1 3 1 2 0 1 1 0 1 0 0 0 1 0 0 0 0 1 0 0 4 1 2 0 0 2 0 0 1 1 0 1 1 1 0 0 0 1 0 2 0 0
"pleasant" 1 1 4 5 1 0 2 2 1 2 1 4 1 0 1 1 1 1 6 0 1 4 1 2 1 0 2 1 1 0 0 2 0 4 3 1 1 1 4 1 1 0 1
"powerful" 0 1 1 1 0 0 0 0 0 0 2 2 2 1 1 0 1 1 0 1 0 1 1 1 0 0 0 0 1 0 0 0 1 2 0 1 0 0 0 0 0 0 0
"professional" 2 1 1 4 0 0 0 0 0 0 2 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 1 0 1 2 0 0 1 0
"proud" 0 1 3 3 1 0 0 0 0 0 0 1 2 0 1 2 0 2 4 0 1 3 1 1 0 0 0 0 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0
"quiet" 2 3 4 4 3 1 1 1 2 1 2 2 4 2 1 1 2 3 5 2 0 9 2 0 2 1 3 1 1 4 2 0 0 0 1 2 3 1 10 2 4 2 1
"rich" 1 1 4 2 0 0 1 1 1 2 1 1 1 0 0 0 1 0 2 0 1 3 0 1 1 0 1 0 1 3 0 1 1 1 0 2 0 0 3 1 0 0 0
"safe" 1 0 1 4 0 1 0 0 1 0 1 0 2 0 0 0 0 4 2 0 1 3 1 0 0 0 0 0 0 1 1 1 1 2 2 0 0 0 4 0 0 0 3
"smart" 1 0 2 4 0 0 0 1 2 0 0 1 1 0 0 0 0 0 1 0 1 2 0 0 0 0 1 0 0 1 0 0 1 3 0 0 0 0 3 1 1 0 0
"special" 0 2 1 1 1 0 0 0 1 1 1 0 0 0 1 0 0 1 3 0 0 1 0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1 1 1
"strong" 2 8 8 10 3 1 4 2 3 2 4 5 0 3 1 0 3 3 6 1 2 12 3 0 2 2 2 1 1 4 0 2 0 10 3 4 3 0 0 2 3 2 3
"top" 1 3 1 3 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 2 0 1 1 1 0 0 1 0 1 0 0 0 2 1 0 1 0 2 0 1 0 1
"weak" 1 3 3 2 3 1 1 2 1 3 0 1 1 1 0 0 1 1 5 0 0 6 1 0 0 1 3 0 2 1 0 0 0 4 0 0 1 1 3 1 0 1 0
"wise" 0 1 0 3 0 1 0 0 1 0 1 0 1 2 1 0 0 0 1 1 0 2 0 0 0 1 1 2 0 0 0 1 0 2 0 0 0 1 2 0 1 0 0
"worth" 0 1 0 4 0 1 0 1 1 1 0 0 0 1 0 0 0 2 1 0 0 2 0 1 0 0 1 0 0 1 0 0 0 1 0 3 0 1 3 1 0 0 0
