"quick";"sarcastic"
"hypocritical";"selfish"
"certain";"lively"
"easy";"pleasant"
"lively";"unreserved"
"lively";"playful"
"lively";"sensible"
"intimate";"sure"
"general";"impertinent"
"cruel";"general"
"certain";"untidy"
"certain";"thorough"
"easy";"genteel"
"easy";"natural"
"indirect";"proud"
"natural";"particular"
"careful";"sensible"
"cold";"sure"
"earnest";"grateful"
"conscientious";"indulgent"
"conscientious";"polite"
"indulgent";"polite"
"cautious";"sensible"
"acceptable";"delicate"
"miserly";"sensible"
"free";"prompt"
"free";"sure"
"prompt";"sure"
"civil";"pompous"
"eager";"particular"
"certain";"particular"
"general";"malicious"
"confidential";"intimate"
"careful";"kind"
"dictatorial";"insolent"
"particular";"sure"
"silent";"vain"
"insolent";"silent"
"steady";"violent"
"civil";"formal"
"silent";"ungenerous"
"formal";"second"
"daring";"second"
"acceptable";"awkward"
"decisive";"negative"
"eager";"impatient"
"intimate";"partial"
"grateful";"strong"
"sensible";"tranquil"
"prudent";"steady"
"circumspect";"lively"
"true";"wise"
"#-cordial";"impartial"
"#-open";"handsome"
"humble";"second"
"cheerful";"neat"
"sudden";"violent"
"active";"quarrelsome"
"natural";"true"
"curious";"hasty"
"grateful";"sure"
"honest";"serious"
"certain";"undecided"
"cheerful";"open"
"certain";"indifferent"
"careful";"unguarded"
"careful";"vicious"
"unguarded";"vicious"
"#-penitent";"haughty"
"general";"social"
"irreligious";"proud"
"partial";"prejudiced"
"grateful";"humble"
"natural";"strong"
"contrary";"particular"
"general";"violent"
"certain";"willing"
"peevish";"restless"
"sure";"unguarded"
"creative";"gay"
"silent";"wise"
"clamorous";"gentle"
"constant";"domestic"
"constant";"natural"
"domestic";"natural"
"handsome";"natural"
"proud";"sure"
"gentle";"original"
"general";"open"
"stately";"sure"
"proud";"shy"
"civil";"lively"
"easy";"sufficient"
"certain";"sudden"
"dilatory";"negligent"
"certain";"constant"
"dilatory";"quick"
"fearless";"noisy"
"open";"sure"
"true";"vague"
"saucy";"ungracious"
"#-chatty";"handsome"
"indifferent";"sure"
"eager";"intimate"
"benevolent";"overbearing"
"benevolent";"selfish"
"overbearing";"selfish"
"busy";"leisurely"
"general";"incredulous"
"moderate";"reasonable"
"earnest";"solemn"
"certain";"sad"
"grave";"silent"
"obsequious";"sincere"
"affectionate";"easy"
