"" "#-afraid" "#-bad" "#-bold" "#-dangerous" "#-fair" "#-good" "#-little" "#-mean" "#-old" "#-pleasant" "#-strong" "#-unreasonable" "#-violent" "#-weak" "accomplished" "active" "affectionate" "afraid" "agreeable" "alone" "ambitious" "amusing" "angry" "annoying" "anxious" "appealing" "artificial" "ashamed" "attentive" "attractive" "awake" "awful" "awkward" "bad" "bashful" "beautiful" "big" "bitter" "blind" "bold" "brave" "bright" "brilliant" "busy" "calm" "capable" "careful" "careless" "cautious" "certain" "cheap" "cheerful" "childish" "clean" "clever" "cold" "comfortable" "comical" "complicated" "confident" "confused" "considerate" "consistent" "cool" "crazy" "critical" "cruel" "curious" "dangerous" "decent" "delighted" "delightful" "dependent" "desirable" "determined" "difficult" "direct" "disappointed" "distinguished" "dumb" "eager" "effective" "efficient" "elderly" "encouraged" "encouraging" "enthusiastic" "evil" "excellent" "excited" "exciting" "exhausted" "experienced" "expressive" "extraordinary" "fair" "faithful" "familiar" "famous" "fat" "feminine" "fine" "firm" "foolish" "fortunate" "friendly" "frightening" "funny" "furious" "generous" "gentle" "genuine" "glad" "good" "graceful" "gracious" "grateful" "great" "greedy" "handsome" "happy" "hard" "harmless" "healthy" "helpless" "homeless" "honest" "hopeful" "humiliated" "humorous" "ignorant" "impatient" "important" "impressive" "independent" "innocent" "insecure" "insulting" "intellectual" "intelligent" "interested" "interesting" "involved" "irritable" "jealous" "joyful" "kind" "lazy" "liberal" "little" "lively" "lonely" "loud" "lovely" "lucky" "mature" "mean" "modest" "motherly" "muscular" "natural" "neat" "negative" "nervous" "nice" "noisy" "observant" "offensive" "old" "open" "ordinary" "original" "outstanding" "passionate" "patient" "peaceful" "plain" "playful" "pleasant" "pleased" "pleasing" "polite" "poor" "positive" "powerful" "practical" "pretty" "private" "productive" "professional" "prompt" "proper" "proud" "punctual" "quiet" "reasonable" "rebellious" "reckless" "religious" "remarkable" "respectable" "respected" "respectful" "responsible" "rich" "ridiculous" "rough" "rude" "sad" "satisfied" "secure" "selfish" "sensitive" "sentimental" "serious" "shallow" "short" "skinny" "sleepy" "slim" "smart" "stable" "straightforward" "strange" "strict" "strong" "stupid" "successful" "surprised" "suspicious" "sweet" "tall" "terrible" "terrific" "thankful" "thin" "thorough" "thoughtful" "thoughtless" "tired" "troubled" "trustworthy" "uncomfortable" "unemployed" "unfair" "unhappy" "unreasonable" "unusual" "useful" "valuable" "violent" "warm" "weak" "wealthy" "well" "wise" "wonderful" "worthy" "young" "youthful"
"#-strong" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"#-unreasonable" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#-violent" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#-weak" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"accomplished" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 3 0 1 1 2 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
"active" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 3 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 2 1 2 1 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 2 7 0 0 0 6 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 5 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 3 0 0 0 0 0 0 1 0 1 0 0 0 5 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 1 0 0 1 0 0 0 0 1 0 2 0 0 0 1 1 0 2 0 2 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 7 0
"affectionate" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 0 1 0 0 1 0 1 2 1 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 2 6 0 0 0 5 0 1 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 1 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 5 2 2 0 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 4 1
"afraid" 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 3 3 0 0 2 0 4 1 1 2 0 0 2 1 0 8 0 5 0 0 1 0 0 4 2 1 6 1 2 0 0 4 0 3 1 2 4 6 1 0 0 0 0 1 0 1 1 1 2 4 0 0 0 1 0 1 1 1 1 2 0 1 2 1 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 2 0 1 0 0 1 0 1 1 0 0 0 1 3 0 5 17 0 1 1 17 0 0 3 2 0 1 0 0 3 0 0 0 0 1 0 2 0 1 1 0 1 0 2 1 1 0 0 0 2 0 1 20 2 2 3 0 0 1 1 1 0 0 3 1 1 2 0 0 0 0 20 5 2 0 0 0 0 1 0 0 1 2 0 2 13 0 1 1 1 2 0 1 0 2 1 0 3 0 1 1 1 5 2 1 0 0 1 0 4 0 0 2 1 0 0 0 1 0 12 1 0 1 0 0 0 4 0 8 2 0 1 2 3 2 1 0 0 3 1 0 0 1 1 0 1 0 0 0 0 2 0 1 6 1 3 0 0 1 3 3 20 0
"agreeable" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 3 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 5 0 1 0 3 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 5 0 0 2 1 0 0 0 0 0 0 3 1 0 0 2 0 0 0 5 1 0 0 0 0 0 0 1 0 0 0 0 2 3 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 2 1 0 1 1 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 5 0
"alone" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 3 0 0 0 1 3 0 2 0 0 0 0 0 1 1 0 3 0 5 1 2 0 0 0 2 1 1 3 0 0 0 1 0 0 1 0 1 1 6 2 0 1 1 1 0 1 0 0 0 2 2 1 0 1 1 0 0 1 3 0 2 0 2 1 2 1 0 1 0 0 0 2 1 1 0 0 3 1 1 1 1 0 0 0 1 1 0 0 1 0 1 2 0 3 0 2 17 0 2 0 15 1 1 3 2 0 0 4 1 2 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 14 3 2 3 0 0 0 0 0 0 0 2 1 0 1 2 0 0 0 18 4 1 1 0 0 0 2 1 0 1 1 0 0 8 0 0 0 1 2 0 3 2 2 1 0 6 0 0 0 0 0 2 1 2 0 1 0 2 0 2 2 0 0 0 0 2 0 11 0 0 0 0 0 1 5 1 5 1 0 2 0 3 2 3 1 1 0 0 1 0 2 1 0 0 0 0 0 1 3 0 3 5 1 4 1 1 0 0 3 18 2
"ambitious" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 2 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0
