"target" "tag"
"1" 2 "aware"
"2" 2 "bear"
"3" 2 "cheerful"
"4" 2 "excellent"
"5" 2 "gentle"
"6" 2 "great"
"7" 2 "happy"
"8" 2 "impossible"
"9" 2 "it"
"10" 2 "kind"
"11" 2 "large"
"12" 2 "last"
"13" 2 "little"
"14" 2 "must"
"15" 2 "off"
"16" 2 "pleasant"
"17" 2 "settled"
"18" 2 "true"
"19" 2 "well"
"20" 3 "best"
"21" 3 "comfortable"
"22" 3 "dear"
"23" 3 "done"
"24" 3 "even"
"25" 3 "feel"
"26" 3 "glad"
"27" 3 "good"
"28" 3 "happy"
"29" 3 "impossible"
"30" 3 "it"
"31" 3 "last"
"32" 3 "little"
"33" 3 "lucky"
"34" 3 "make"
"35" 3 "must"
"36" 3 "off"
"37" 3 "perfect"
"38" 3 "poor"
"39" 3 "pretty"
"40" 3 "rational"
"41" 3 "right"
"42" 3 "settled"
"43" 3 "spent"
"44" 3 "sure"
"45" 3 "well"
"46" 3 "will"
"47" 4 "best"
"48" 4 "better"
"49" 4 "dear"
"50" 4 "done"
"51" 4 "good"
"52" 4 "great"
"53" 4 "it"
"54" 4 "kind"
"55" 4 "make"
"56" 4 "must"
"57" 4 "nobody"
"58" 4 "pretty"
"59" 4 "single"
"60" 4 "sure"
"61" 4 "well"
"62" 4 "will"
"63" 4 "young"
"64" 5 "amiable"
"65" 5 "best"
"66" 5 "better"
"67" 5 "cheerful"
"68" 5 "coming"
"69" 5 "dear"
"70" 5 "easy"
"71" 5 "equal"
"72" 5 "even"
"73" 5 "feel"
"74" 5 "first"
"75" 5 "fond"
"76" 5 "gone"
"77" 5 "good"
"78" 5 "great"
"79" 5 "having"
"80" 5 "it"
"81" 5 "kind"
"82" 5 "last"
"83" 5 "little"
"84" 5 "live"
"85" 5 "make"
"86" 5 "making"
"87" 5 "must"
"88" 5 "nobody"
"89" 5 "off"
"90" 5 "proud"
"91" 5 "secure"
"92" 5 "seen"
"93" 5 "spent"
"94" 5 "useful"
"95" 5 "whole"
"96" 5 "will"
"97" 5 "young"
"98" 6 "able"
"99" 6 "bear"
"100" 6 "character"
"101" 6 "cheerful"
"102" 6 "dear"
"103" 6 "domestic"
"104" 6 "easy"
"105" 6 "equal"
"106" 6 "even"
"107" 6 "frequent"
"108" 6 "gentle"
"109" 6 "glad"
"110" 6 "gone"
"111" 6 "good"
"112" 6 "great"
"113" 6 "handsome"
"114" 6 "having"
"115" 6 "intelligent"
"116" 6 "it"
"117" 6 "little"
"118" 6 "make"
"119" 6 "morning"
"120" 6 "must"
"121" 6 "new"
"122" 6 "pleasant"
"123" 6 "poor"
"124" 6 "proof"
"125" 6 "rich"
"126" 6 "seen"
"127" 6 "single"
"128" 6 "still"
"129" 6 "suffering"
"130" 6 "well"
"131" 6 "young"
"132" 7 "able"
"133" 7 "alone"
"134" 7 "best"
"135" 7 "chosen"
"136" 7 "comfortable"
"137" 7 "coming"
"138" 7 "devoted"
"139" 7 "excellent"
"140" 7 "feel"
"141" 7 "fond"
"142" 7 "fortunate"
"143" 7 "forward"
"144" 7 "full"
"145" 7 "girl"
"146" 7 "good"
"147" 7 "great"
"148" 7 "handsome"
"149" 7 "happy"
"150" 7 "hard"
"151" 7 "having"
"152" 7 "intellectual"
"153" 7 "interested"
"154" 7 "it"
"155" 7 "kind"
"156" 7 "lady"
"157" 7 "large"
"158" 7 "late"
"159" 7 "little"
"160" 7 "living"
"161" 7 "make"
"162" 7 "mistress"
